file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,GodClass
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\transaction\managed\ManagedTransaction.java,org.apache.ibatis.transaction.managed.ManagedTransaction,class,1,2,5,0.35714287,0.675,46,0,8,0,5,8,14,0,-1.0,3,12,0.8,-1.0,3,38,1.0,2.0,5.0,0.35714287,0.675,46.0,0.0,8.0,0.0,5.0,8.0,14.0,0.0,-1.0,3.0,12.0,0.8,-1.0,3.0,38.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\multiple_discriminator\Employee.java,org.apache.ibatis.submitted.multiple_discriminator.Employee,class,2,1,1,1.0,0.0,9,1,0,0,1,2,2,0,0.0,0,2,1.0,-1.0,0,18,2.0,1.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,-1.0,0.0,18.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\deferload_common_property\CommonPropertyDeferLoadTest.java,org.apache.ibatis.submitted.deferload_common_property.CommonPropertyDeferLoadTest.3MyResultHandler,innerclass,1,0,3,,0.0,7,0,2,0,1,1,1,0,-1.0,1,0,0.0,-1.0,1,88,1.0,0.0,3.0,,0.0,7.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,88.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\executor\loader\JavassistProxyFactory.java,org.apache.ibatis.executor.loader.JavassistProxyFactory,class,2,0,1,-1.0,0.0,2,0,0,0,0,0,0,0,0.0,0,0,-1.0,-1.0,0,22,2.0,0.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,22.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\immutable_constructor\ImmutablePOJOTest.java,org.apache.ibatis.submitted.immutable_constructor.ImmutablePOJOTest,class,1,0,7,1.0,0.33333334,25,0,14,0,3,3,3,0,-1.0,13,5,0.2777778,-1.0,9,32,1.0,0.0,7.0,1.0,0.33333334,25.0,0.0,14.0,0.0,3.0,3.0,3.0,0.0,-1.0,13.0,5.0,0.2777778,-1.0,9.0,32.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\main\java\org\apache\ibatis\type\NStringTypeHandler.java,org.apache.ibatis.type.NStringTypeHandler,class,3,1,2,0.0,0.0,14,0,4,0,0,4,4,1,1.0,4,0,0.0,0.0,3,26,3.0,1.0,2.0,0.0,0.0,14.0,0.0,4.0,0.0,0.0,4.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,26.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\jdbc\SqlBuilderTest.java,org.apache.ibatis.jdbc.SqlBuilderTest,class,1,1,2,0.0,0.0,56,0,12,0,0,7,10,0,-1.0,0,0,-1.0,-1.0,0,23,1.0,1.0,2.0,0.0,0.0,56.0,0.0,12.0,0.0,0.0,7.0,10.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,23.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\call_setters_on_nulls_again\ChildBean.java,org.apache.ibatis.submitted.call_setters_on_nulls_again.ChildBean,class,1,2,1,1.0,0.5714286,26,0,0,0,3,7,7,0,-1.0,0,9,1.0,-1.0,0,20,1.0,2.0,1.0,1.0,0.5714286,26.0,0.0,0.0,0.0,3.0,7.0,7.0,0.0,-1.0,0.0,9.0,1.0,-1.0,0.0,20.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\generictyperesolution\GenericTypeResolutionTest.java,org.apache.ibatis.submitted.generictyperesolution.GenericTypeResolutionTest,class,1,0,7,1.0,0.0,30,0,18,0,1,3,3,0,-1.0,15,1,0.0625,-1.0,7,30,1.0,0.0,7.0,1.0,0.0,30.0,0.0,18.0,0.0,1.0,3.0,3.0,0.0,-1.0,15.0,1.0,0.0625,-1.0,7.0,30.0,0.0
C:\Users\syuuj\gitProject\mybatis-3\src\test\java\org\apache\ibatis\submitted\sqlprovider\SqlProviderTest.java,org.apache.ibatis.submitted.sqlprovider.SqlProviderTest.DatabaseIdMapper,interface,1,0,2,,0.0,13,0,0,1,0,1,1,0,-1.0,1,0,0.0,-1.0,1,986,1.0,0.0,2.0,,0.0,13.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,920.0,0.0
