file,class_x,method_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line,class_y,method_y,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\MimeTest.java,fi.iki.elonen.MimeTest,testManualMimeType/0,0,2,1,4,0,0,0,0,0,0,58,fi.iki.elonen.MimeTest,testManualMimeType/0,1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\MimeTest.java,fi.iki.elonen.MimeTest,testExistingMimeType/0,0,1,1,3,0,0,0,0,0,0,42,fi.iki.elonen.MimeTest,testExistingMimeType/0,1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\MimeTest.java,fi.iki.elonen.MimeTest,testNotExistingMimeType/0,0,2,1,4,0,0,0,0,0,0,47,fi.iki.elonen.MimeTest,testNotExistingMimeType/0,2.0,0.0,0.0,2.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\MimeTest.java,fi.iki.elonen.MimeTest,testOverwritenMimeType/0,0,1,1,3,0,0,0,0,0,0,53,fi.iki.elonen.MimeTest,testOverwritenMimeType/0,1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD$NotImplementedHandler,getStatus/0,1,0,1,3,1,0,0,0,0,0,300,fi.iki.elonen.router.RouterNanoHTTPD$NotImplementedHandler,getStatus/0,1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD$NotImplementedHandler,getText/0,0,0,1,3,1,0,0,0,0,0,290,fi.iki.elonen.router.RouterNanoHTTPD$NotImplementedHandler,getText/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD$NotImplementedHandler,getMimeType/0,1,0,1,3,1,0,0,0,0,0,295,fi.iki.elonen.router.RouterNanoHTTPD$NotImplementedHandler,getMimeType/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD$WebSocketException,getReason/0,1,0,1,3,1,0,0,0,0,0,303,fi.iki.elonen.NanoWSD$WebSocketException,getReason/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD$WebSocketException,getCode/0,1,0,1,3,1,0,0,0,0,0,299,fi.iki.elonen.NanoWSD$WebSocketException,getCode/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD$WebSocketException,WebSocketException/1[java.lang.Exception],0,0,1,3,0,0,1,0,0,0,295,fi.iki.elonen.NanoWSD$WebSocketException,WebSocketException/1[java.lang.Exception],1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD$WebSocketException,"WebSocketException/2[fi.iki.elonen.NanoWSD.WebSocketFrame.CloseCode,java.lang.String]",5,0,1,3,0,0,2,0,0,0,285,fi.iki.elonen.NanoWSD$WebSocketException,"WebSocketException/2[fi.iki.elonen.NanoWSD.WebSocketFrame.CloseCode,java.lang.String]",0.0,0.0,-1.0,0.0
