file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\MimeTest.java,fi.iki.elonen.MimeTest,39,class,1,0,2,0.0,0.0,16,0,6,0,0,4,4,fi.iki.elonen.MimeTest,0.0,-1.0,5.0,0.0,0.0,-1.0,2.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD$NotImplementedHandler,286,innerclass,3,0,3,0.0,0.0,11,0,0,0,0,3,3,fi.iki.elonen.router.RouterNanoHTTPD$NotImplementedHandler,0.0,1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD$WebSocketException,276,innerclass,4,0,1,0.6,0.59999996,22,0,1,0,3,5,5,fi.iki.elonen.NanoWSD$WebSocketException,0.0,0.0,1.0,4.0,0.8,-1.0,1.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\samples\echo\DebugWebSocketServer.java,fi.iki.elonen.samples.echo.DebugWebSocketServer$DebugWebSocket,65,innerclass,2,0,5,0.0,0.375,41,0,5,0,1,8,17,fi.iki.elonen.samples.echo.DebugWebSocketServer$DebugWebSocket,7.0,1.0,6.0,1.0,0.14285715,0.0,3.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpHeadRequestTest.java,fi.iki.elonen.HttpHeadRequestTest,45,class,2,0,3,0.0,0.0,107,0,11,0,0,16,16,fi.iki.elonen.HttpHeadRequestTest,7.0,0.0625,63.0,16.0,0.20253165,0.2857143,5.0
C:\Users\syuuj\gitProject\nanohttpd\samples\src\main\java\fi\iki\elonen\HelloServer.java,fi.iki.elonen.HelloServer,44,class,2,1,6,0.0,0.6666667,24,0,9,0,1,3,4,fi.iki.elonen.HelloServer,0.0,0.0,5.0,1.0,0.16666667,-1.0,2.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD$State,57,enum,1,0,0,-1.0,0.0,1,0,0,0,0,0,0,fi.iki.elonen.NanoWSD$State,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD$IndexHandler,268,innerclass,3,0,3,0.0,0.0,11,0,0,0,0,3,3,fi.iki.elonen.router.RouterNanoHTTPD$IndexHandler,0.0,1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD$UriResource,317,innerclass,1,0,7,1.0,0.76543206,102,0,40,0,9,9,23,fi.iki.elonen.router.RouterNanoHTTPD$UriResource,0.0,-1.0,16.0,16.0,0.5,-1.0,10.0
C:\Users\syuuj\gitProject\nanohttpd\samples\src\main\java\fi\iki\elonen\TempFilesServer.java,fi.iki.elonen.TempFilesServer$ExampleManagerFactory,83,innerclass,1,0,3,,0.0,5,0,0,0,0,1,1,fi.iki.elonen.TempFilesServer$ExampleManagerFactory,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
