file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y,qualifiedName,FeatureEnvy
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\MimeTest.java,fi.iki.elonen.MimeTest,testManualMimeType/0,0,2,1,4,0,0,0,0,0,0,1.0,0.0,0.0,1.0,58,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,58.0,fi.iki.elonen.MimeTest.testManualMimeType,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\MimeTest.java,fi.iki.elonen.MimeTest,testExistingMimeType/0,0,1,1,3,0,0,0,0,0,0,1.0,0.0,0.0,1.0,42,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,42.0,fi.iki.elonen.MimeTest.testExistingMimeType,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\MimeTest.java,fi.iki.elonen.MimeTest,testNotExistingMimeType/0,0,2,1,4,0,0,0,0,0,0,2.0,0.0,0.0,2.0,47,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,47.0,fi.iki.elonen.MimeTest.testNotExistingMimeType,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\MimeTest.java,fi.iki.elonen.MimeTest,testOverwritenMimeType/0,0,1,1,3,0,0,0,0,0,0,1.0,0.0,0.0,1.0,53,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,53.0,fi.iki.elonen.MimeTest.testOverwritenMimeType,0.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD.NotImplementedHandler,getStatus/0,1,0,1,3,1,0,0,0,0,0,1.0,0.0,0.0,1.0,300,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,298.0,fi.iki.elonen.router.RouterNanoHTTPD.NotImplementedHandler.getStatus,0.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD.NotImplementedHandler,getText/0,0,0,1,3,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,290,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,288.0,fi.iki.elonen.router.RouterNanoHTTPD.NotImplementedHandler.getText,0.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD.NotImplementedHandler,getMimeType/0,1,0,1,3,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,295,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,293.0,fi.iki.elonen.router.RouterNanoHTTPD.NotImplementedHandler.getMimeType,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD.WebSocketException,getReason/0,1,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,303,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,302.0,fi.iki.elonen.NanoWSD.WebSocketException.getReason,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD.WebSocketException,getCode/0,1,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,299,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,298.0,fi.iki.elonen.NanoWSD.WebSocketException.getCode,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD.WebSocketException,WebSocketException/1[java.lang.Exception],0,0,1,3,0,0,1,0,0,0,1.0,0.0,0.0,1.0,295,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,294.0,fi.iki.elonen.NanoWSD.WebSocketException.WebSocketException,0.0
