file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,GodClass
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\MimeTest.java,fi.iki.elonen.MimeTest,class,1,0,2,0.0,0.0,16,0,6,0,0,4,4,0.0,-1.0,5.0,0.0,0.0,-1.0,2.0,39,1.0,0.0,2.0,0.0,0.0,16.0,0.0,6.0,0.0,0.0,4.0,4.0,0.0,-1.0,5.0,0.0,0.0,-1.0,2.0,39.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD.NotImplementedHandler,innerclass,3,0,3,0.0,0.0,11,0,0,0,0,3,3,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,288,3.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,286.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD.WebSocketException,innerclass,4,0,1,0.6,0.59999996,22,0,1,0,3,5,5,0.0,0.0,1.0,4.0,0.8,-1.0,1.0,277,4.0,0.0,1.0,0.6,0.59999996,22.0,0.0,1.0,0.0,3.0,5.0,5.0,0.0,0.0,1.0,4.0,0.8,-1.0,1.0,276.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\samples\echo\DebugWebSocketServer.java,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket,innerclass,2,0,5,0.0,0.375,41,0,5,0,1,8,17,7.0,1.0,6.0,1.0,0.14285715,0.0,3.0,65,2.0,0.0,5.0,0.0,0.375,41.0,0.0,5.0,0.0,1.0,8.0,17.0,7.0,1.0,6.0,1.0,0.14285715,0.0,3.0,65.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\HttpHeadRequestTest.java,fi.iki.elonen.HttpHeadRequestTest,class,2,0,3,0.0,0.0,123,0,11,0,0,17,17,7.0,0.05882353,86.0,17.0,0.16504854,0.2857143,5.0,45,2.0,0.0,3.0,0.0,0.0,107.0,0.0,11.0,0.0,0.0,16.0,16.0,7.0,0.0625,63.0,16.0,0.20253165,0.2857143,5.0,45.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\samples\src\main\java\fi\iki\elonen\HelloServer.java,fi.iki.elonen.HelloServer,class,2,1,6,0.0,0.6666667,24,0,9,0,1,3,4,0.0,0.0,5.0,1.0,0.16666667,-1.0,2.0,44,2.0,1.0,6.0,0.0,0.6666667,24.0,0.0,9.0,0.0,1.0,3.0,4.0,0.0,0.0,5.0,1.0,0.16666667,-1.0,2.0,44.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\websocket\src\main\java\fi\iki\elonen\NanoWSD.java,fi.iki.elonen.NanoWSD.State,enum,1,0,0,-1.0,0.0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,57,1.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,57.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD.IndexHandler,innerclass,3,0,3,0.0,0.0,11,0,0,0,0,3,3,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,270,3.0,0.0,3.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,268.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\nanolets\src\main\java\fi\iki\elonen\router\RouterNanoHTTPD.java,fi.iki.elonen.router.RouterNanoHTTPD.UriResource,innerclass,1,0,7,1.0,0.7777778,122,0,40,0,9,12,29,0.0,-1.0,16.0,21.0,0.5675676,-1.0,10.0,319,1.0,0.0,7.0,1.0,0.76543206,102.0,0.0,40.0,0.0,9.0,9.0,23.0,0.0,-1.0,16.0,16.0,0.5,-1.0,10.0,317.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\samples\src\main\java\fi\iki\elonen\TempFilesServer.java,fi.iki.elonen.TempFilesServer.ExampleManagerFactory,innerclass,1,0,3,,0.0,5,0,0,0,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,83,1.0,0.0,3.0,,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,83.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\fileupload\src\main\java\fi\iki\elonen\NanoFileUpload.java,fi.iki.elonen.NanoFileUpload,class,2,2,8,0.0,0.0,46,0,5,1,0,5,6,0.0,0.0,4.0,0.0,0.0,-1.0,3.0,54,2.0,2.0,8.0,0.0,0.0,46.0,0.0,5.0,1.0,0.0,5.0,6.0,0.0,0.0,4.0,0.0,0.0,-1.0,3.0,54.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\integration\ShutdownTest.java,fi.iki.elonen.integration.ShutdownTest.TestServer,innerclass,2,0,3,0.0,0.0,8,0,1,0,0,2,2,8.0,1.0,0.0,0.0,-1.0,0.0,0.0,50,2.0,0.0,3.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,2.0,2.0,8.0,1.0,0.0,0.0,-1.0,0.0,0.0,50.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\main\java\fi\iki\elonen\NanoHTTPD.java,fi.iki.elonen.NanoHTTPD.DefaultTempFileManagerFactory,innerclass,1,0,3,,0.0,5,0,0,0,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,465,1.0,0.0,3.0,,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,465.0,0.0
C:\Users\syuuj\gitProject\nanohttpd\core\src\test\java\fi\iki\elonen\BadRequestTest.java,fi.iki.elonen.BadRequestTest,class,2,0,2,0.0,0.0,17,0,2,0,0,3,3,7.0,0.0,0.0,0.0,-1.0,0.2857143,0.0,41,2.0,0.0,2.0,0.0,0.0,17.0,0.0,2.0,0.0,0.0,3.0,3.0,7.0,0.0,0.0,0.0,-1.0,0.2857143,0.0,41.0,0.0
