,class,RefusedBequest
0,fi.iki.elonen.MimeTest,0
1,fi.iki.elonen.router.RouterNanoHTTPD.NotImplementedHandler,0
2,fi.iki.elonen.NanoWSD.WebSocketException,0
3,fi.iki.elonen.samples.echo.DebugWebSocketServer.DebugWebSocket,0
4,fi.iki.elonen.HttpHeadRequestTest,0
5,fi.iki.elonen.HelloServer,0
6,fi.iki.elonen.NanoWSD.State,0
7,fi.iki.elonen.router.RouterNanoHTTPD.IndexHandler,0
8,fi.iki.elonen.router.RouterNanoHTTPD.UriResource,0
9,fi.iki.elonen.TempFilesServer.ExampleManagerFactory,0
10,fi.iki.elonen.NanoFileUpload,0
11,fi.iki.elonen.integration.ShutdownTest.TestServer,0
12,fi.iki.elonen.NanoHTTPD.DefaultTempFileManagerFactory,0
13,fi.iki.elonen.BadRequestTest,0
14,fi.iki.elonen.integration.CookieIntegrationTest.CookieTestServer,0
15,fi.iki.elonen.ServerSocketFactoryTest,0
16,fi.iki.elonen.router.RouterNanoHTTPD.DefaultStreamHandler,0
17,fi.iki.elonen.NanoWSD.WebSocket.1,0
18,fi.iki.elonen.integration.GZipIntegrationTest.TestServer,0
19,fi.iki.elonen.samples.echo.EchoWebSocketsTest.1,0
20,fi.iki.elonen.HttpSessionTest,0
21,fi.iki.elonen.ServerSocketFactoryTest.TestFactory,0
22,fi.iki.elonen.NanoHTTPD.DefaultServerSocketFactory,0
23,fi.iki.elonen.TestCorsHttpServer,0
24,fi.iki.elonen.NanoHTTPD.DefaultAsyncRunner,0
25,fi.iki.elonen.LoadKeyStoreTest,0
26,fi.iki.elonen.NanoHTTPD.TempFile,0
27,fi.iki.elonen.HttpKeepAliveTest.1,0
28,fi.iki.elonen.NanoHTTPD.Response,0
29,fi.iki.elonen.DummyPluginInfo,0
30,fi.iki.elonen.integration.GetAndPostIntegrationTest,0
31,fi.iki.elonen.router.RouterNanoHTTPD.ProvidedPriorityRoutePrioritizer,0
