file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\Packet.java,com.corundumstudio.socketio.protocol.Packet,27,class,1,28,4,0.10822511,0.8909091,81,0,4,0,10,22,26,com.corundumstudio.socketio.protocol.Packet,0.0,-1.0,0.0,23.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\JacksonJsonSupport.java,com.corundumstudio.socketio.protocol.JacksonJsonSupport$AckArgsDeserializer,71,innerclass,2,0,8,0.0,1.0,31,0,12,0,1,2,6,com.corundumstudio.socketio.protocol.JacksonJsonSupport$AckArgsDeserializer,0.0,0.0,6.0,0.0,0.0,-1.0,6.0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\WrongUrlHandler.java,com.corundumstudio.socketio.handler.WrongUrlHandler,36,class,2,2,11,,0.0,17,0,11,0,1,1,2,com.corundumstudio.socketio.handler.WrongUrlHandler,0.0,0.0,3.0,0.0,0.0,-1.0,3.0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\AuthorizeHandler.java,com.corundumstudio.socketio.handler.AuthorizeHandler,68,class,2,7,32,1.0,0.6527778,158,0,64,0,9,8,29,com.corundumstudio.socketio.handler.AuthorizeHandler,0.0,0.0,52.0,16.0,0.23529412,-1.0,21.0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\HazelcastStoreFactory.java,com.corundumstudio.socketio.store.HazelcastStoreFactory,30,class,2,0,8,0.71428573,0.5,35,0,4,0,4,7,7,com.corundumstudio.socketio.store.HazelcastStoreFactory,1.0,0.25,3.0,12.0,0.8,1.0,2.0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\DispatchMessage.java,com.corundumstudio.socketio.store.pubsub.DispatchMessage,20,class,2,3,2,0.6,0.70000005,22,0,0,0,4,5,5,com.corundumstudio.socketio.store.pubsub.DispatchMessage,0.0,0.0,0.0,6.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\DecoderAckPacketTest.java,com.corundumstudio.socketio.parser.DecoderAckPacketTest,31,class,2,1,7,0.0,0.0,30,0,5,0,0,4,4,com.corundumstudio.socketio.parser.DecoderAckPacketTest,2.0,0.0,12.0,0.0,0.0,0.0,6.0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\HandshakeData.java,com.corundumstudio.socketio.HandshakeData,26,class,1,7,1,0.6545454,0.784091,52,0,4,0,8,11,13,com.corundumstudio.socketio.HandshakeData,0.0,-1.0,1.0,13.0,0.9285714,-1.0,1.0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\TransportState.java,com.corundumstudio.socketio.handler.TransportState,25,class,1,1,2,0.33333334,0.5,18,0,0,0,2,4,4,com.corundumstudio.socketio.handler.TransportState,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\BaseStoreFactory.java,com.corundumstudio.socketio.store.pubsub.BaseStoreFactory,27,class,1,4,13,0.0,0.9,52,3,9,0,2,5,5,com.corundumstudio.socketio.store.pubsub.BaseStoreFactory,0.0,-1.0,35.0,1.0,0.027777778,-1.0,8.0
