file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,RefusedBequest
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\Packet.java,com.corundumstudio.socketio.protocol.Packet,class,1,29,4,0.8300395,0.8565217,98,0,11,0,10,23,28,0.0,-1.0,0.0,39.0,1.0,-1.0,0.0,27,1.0,28.0,4.0,0.10822511,0.8909091,81.0,0.0,4.0,0.0,10.0,22.0,26.0,0.0,-1.0,0.0,23.0,1.0,-1.0,0.0,27.0,0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\protocol\JacksonJsonSupport.java,com.corundumstudio.socketio.protocol.JacksonJsonSupport.AckArgsDeserializer,innerclass,2,0,8,0.0,1.0,31,0,12,0,1,2,6,0.0,0.0,6.0,0.0,0.0,-1.0,6.0,71,2.0,0.0,8.0,0.0,1.0,31.0,0.0,12.0,0.0,1.0,2.0,6.0,0.0,0.0,6.0,0.0,0.0,-1.0,6.0,71.0,0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\WrongUrlHandler.java,com.corundumstudio.socketio.handler.WrongUrlHandler,class,2,2,11,,0.0,17,0,11,0,1,1,2,0.0,0.0,3.0,0.0,0.0,-1.0,3.0,36,2.0,2.0,11.0,,0.0,17.0,0.0,11.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,-1.0,3.0,36.0,0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\AuthorizeHandler.java,com.corundumstudio.socketio.handler.AuthorizeHandler,class,2,7,32,1.0,0.6527778,158,0,64,0,9,8,29,0.0,0.0,52.0,16.0,0.23529412,-1.0,21.0,68,2.0,7.0,32.0,1.0,0.6527778,158.0,0.0,64.0,0.0,9.0,8.0,29.0,0.0,0.0,52.0,16.0,0.23529412,-1.0,21.0,68.0,0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\HazelcastStoreFactory.java,com.corundumstudio.socketio.store.HazelcastStoreFactory,class,2,0,8,0.71428573,0.5,35,0,4,0,4,7,7,1.0,0.25,3.0,12.0,0.8,1.0,2.0,30,2.0,0.0,8.0,0.71428573,0.5,35.0,0.0,4.0,0.0,4.0,7.0,7.0,1.0,0.25,3.0,12.0,0.8,1.0,2.0,30.0,0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\DispatchMessage.java,com.corundumstudio.socketio.store.pubsub.DispatchMessage,class,2,3,2,0.6,0.70000005,22,0,0,0,4,5,5,0.0,0.0,0.0,6.0,1.0,-1.0,0.0,20,2.0,3.0,2.0,0.6,0.70000005,22.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,0.0,6.0,1.0,-1.0,0.0,20.0,0
C:\Users\syuuj\gitProject\netty-socketio\src\test\java\com\corundumstudio\socketio\parser\DecoderAckPacketTest.java,com.corundumstudio.socketio.parser.DecoderAckPacketTest,class,2,1,7,0.0,0.0,30,0,5,0,0,4,4,2.0,0.0,12.0,0.0,0.0,0.0,6.0,31,2.0,1.0,7.0,0.0,0.0,30.0,0.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,12.0,0.0,0.0,0.0,6.0,31.0,0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\HandshakeData.java,com.corundumstudio.socketio.HandshakeData,class,1,7,1,0.6545454,0.784091,52,0,4,0,8,11,13,0.0,-1.0,1.0,13.0,0.9285714,-1.0,1.0,26,1.0,7.0,1.0,0.6545454,0.784091,52.0,0.0,4.0,0.0,8.0,11.0,13.0,0.0,-1.0,1.0,13.0,0.9285714,-1.0,1.0,26.0,0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\handler\TransportState.java,com.corundumstudio.socketio.handler.TransportState,class,1,1,2,0.33333334,0.5,18,0,0,0,2,4,4,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0,25,1.0,1.0,2.0,0.33333334,0.5,18.0,0.0,0.0,0.0,2.0,4.0,4.0,0.0,-1.0,0.0,5.0,1.0,-1.0,0.0,25.0,0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\pubsub\BaseStoreFactory.java,com.corundumstudio.socketio.store.pubsub.BaseStoreFactory,class,1,4,13,0.0,0.9,52,3,9,0,2,5,5,0.0,-1.0,35.0,1.0,0.027777778,-1.0,8.0,27,1.0,4.0,13.0,0.0,0.9,52.0,3.0,9.0,0.0,2.0,5.0,5.0,0.0,-1.0,35.0,1.0,0.027777778,-1.0,8.0,27.0,0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\messages\XHRPostMessage.java,com.corundumstudio.socketio.messages.XHRPostMessage,class,2,3,1,,0.0,5,1,0,0,0,1,1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,20,2.0,3.0,1.0,,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,20.0,0
C:\Users\syuuj\gitProject\netty-socketio\src\main\java\com\corundumstudio\socketio\store\MemoryStore.java,com.corundumstudio.socketio.store.MemoryStore,class,1,1,2,1.0,0.0,15,0,5,0,1,4,4,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,22,1.0,1.0,2.0,1.0,0.0,15.0,0.0,5.0,0.0,1.0,4.0,4.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,22.0,0
