,class,GodClass
0,org.redisson.client.handler.CommandBatchEncoder,0.0
1,org.redisson.PubSubPatternMessageListener,0.0
2,ItemReadWrite,0.0
3,JndiRedissonRegionFactory,0.0
4,org.redisson.RedissonLiveObjectServiceTest.Order,0.0
5,org.redisson.api.RSortableAsync,0.0
6,org.redisson.RedissonSemaphoreTest.2,0.0
7,org.redisson.RedissonSemaphoreTest.1,0.0
8,org.redisson.client.RedisPubSubConnection.2,0.0
9,org.redisson.client.RedisPubSubConnection.1,0.0
10,org.redisson.codec.MsgPackJacksonCodec,0.0
11,org.redisson.reactive.RedissonTransactionReactive,0.0
12,org.redisson.spring.cache.NullValue,0.0
13,org.redisson.RedissonRunnable,0.0
14,org.redisson.RedissonSemaphoreTest.3,0.0
15,org.redisson.api.RObject,0.0
16,org.redisson.pubsub.PublishSubscribe,0.0
17,org.redisson.rx.RedissonTopicRxTest.3,0.0
18,org.redisson.liveobject.LiveObjectTemplate,0.0
19,org.redisson.RedissonLiveObjectServiceTest.TestClass,0.0
20,org.redisson.rx.RedissonTopicRxTest.2,0.0
21,RedissonReactiveScriptingCommands,0.0
22,org.redisson.connection.RedisClientEntry,0.0
23,org.redisson.cache.ExpirableValue,0.0
24,org.redisson.rx.RedissonTopicRxTest.1,0.0
25,org.redisson.spring.data.connection.RedissonMultiConnectionTest.2,0.0
26,org.redisson.spring.data.connection.RedissonMultiConnectionTest.1,0.0
27,org.redisson.rx.RedissonBatchRxTest.1,0.0
28,org.redisson.RedissonExecutorService.ClassBody,0.0
29,org.redisson.client.protocol.convertor.NumberConvertor,0.0
30,org.redisson.connection.ConnectionEventsHub,0.0
31,org.redisson.client.codec.DoubleCodec,0.0
32,org.redisson.api.RBoundedBlockingQueueAsync,0.0
33,RedissonBaseReactive,0.0
34,org.redisson.RedissonSubSortedSet,0.0
35,org.redisson.api.RAtomicLongAsync,0.0
36,A,0.0
37,org.redisson.client.protocol.decoder.GeoDistanceDecoder,0.0
38,B,0.0
39,org.redisson.api.queue.DequeMoveParams.Direction,0.0
40,org.redisson.tomcat.TomcatServer,0.0
41,org.redisson.transaction.operation.map.MapCacheFastPutIfAbsentOperation,0.0
42,org.redisson.RedissonTwoLockedThread.3,0.0
43,ReadMode,0.0
44,org.redisson.mapreduce.BaseMapperTask,0.0
45,org.redisson.transaction.RedissonTransactionalLocalCachedMap,0.0
46,org.redisson.RedissonTwoLockedThread.4,0.0
47,org.redisson.RedissonTwoLockedThread.1,0.0
48,org.redisson.api.RBitSetRx,0.0
49,org.redisson.RedissonTwoLockedThread.2,0.0
50,org.redisson.client.handler.PingConnectionHandler.1,0.0
51,org.redisson.rx.RedissonTransferQueueRx,0.0
52,org.redisson.api.RPermitExpirableSemaphoreRx,0.0
53,org.redisson.misc.CountableListener,0.0
54,org.redisson.executor.RedissonExecutorServiceSpringTest.SampleRunnable,0.0
55,org.redisson.client.codec.IntegerCodec,0.0
56,org.redisson.tomcat.AttributesClearMessage,0.0
57,org.redisson.rx.RedissonScoredSortedSetRx.1,0.0
58,org.redisson.spring.data.connection.RedissonMultiConnectionTest,0.0
59,org.redisson.api.RPriorityQueue,0.0
60,org.redisson.client.protocol.decoder.ClusterNodesDecoder,0.0
61,org.redisson.client.protocol.ScoredEntry,0.0
62,org.redisson.api.RReadWriteLockReactive,0.0
63,org.redisson.connection.MasterSlaveEntry,0.0
64,XInfoConsumersReplayDecoder,0.0
65,org.redisson.cluster.ClusterPartition.Type,0.0
66,org.redisson.api.RListMultimapCache,0.0
67,org.redisson.rx.RedissonMapCacheRxTest.SimpleKey,0.0
68,org.redisson.transaction.RedissonTransactionalMapCache,0.0
69,org.redisson.api.redisnode.RedisMasterSlave,0.0
70,org.redisson.api.redisnode.RedisSingle,0.0
71,org.redisson.spring.transaction.RedissonTransactionContextConfig,0.0
72,org.redisson.api.PendingResult,0.0
73,org.redisson.liveobject.condition.ANDCondition,0.0
74,org.redisson.client.protocol.decoder.ListObjectDecoder,0.0
75,org.redisson.cache.StdCachedValue,0.0
76,org.redisson.spring.cache.RedissonSpringCacheTest,0.0
77,org.redisson.jcache.configuration.RedissonConfiguration,0.0
78,RedissonMultiConnectionTest.1,0.0
79,RedissonMultiConnectionTest.2,0.0
80,org.redisson.misc.CompositeIterator,0.0
81,org.redisson.rx.RedissonTopicRxTest.Message,0.0
82,org.redisson.api.redisnode.RedisNodeAsync,0.0
83,ObjectListReplayDecoder2,0.0
84,org.redisson.spring.cache.RedissonSpringCacheTest.JsonConfigApplication,0.0
85,org.redisson.config.BaseMasterSlaveServersConfig,0.0
86,org.redisson.RedissonReference,0.0
87,org.redisson.RedisRunner.LOGLEVEL_OPTIONS,0.0
88,org.redisson.RedissonScoredSortedSet.1,0.0
89,RedissonReactiveRedisConnection,0.0
90,RedissonReactiveClusterGeoCommands,0.0
91,org.redisson.rx.RxProxyBuilder.1.2,0.0
92,org.redisson.spring.data.connection.SecondsConvertor,0.0
93,org.redisson.client.protocol.decoder.ClusterNodesDecoderTest,0.0
94,org.redisson.api.RAtomicLongRx,0.0
95,org.redisson.misc.LRUCacheMapTest,0.0
96,org.redisson.client.protocol.decoder.MapScanResultReplayDecoder,0.0
97,org.redisson.api.RLiveObject,0.0
98,org.redisson.connection.pool.SlaveConnectionPool,0.0
99,org.redisson.client.protocol.decoder.MapKeyDecoder,0.0
100,org.redisson.RedissonPriorityQueue.BinarySearchResult,0.0
101,org.redisson.api.RDequeAsync,0.0
102,org.redisson.client.protocol.decoder.StringDataDecoder,0.0
103,org.redisson.RedissonTopicPatternTest,0.0
104,org.redisson.spring.data.connection.RedissonReactiveTest,0.0
105,org.redisson.RedissonSet.1,0.0
106,org.redisson.RedissonListMultimapTest.SimpleKey,0.0
107,org.redisson.transaction.operation.TouchOperation,0.0
