file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\client\handler\CommandBatchEncoder.java,org.redisson.client.handler.CommandBatchEncoder,class,2,1,9,0.0,1.0,17,0,7,0,1,2,5,0.0,0.0,5.0,0.0,0.0,-1.0,4.0,33,2.0,1.0,9.0,0.0,1.0,17.0,0.0,7.0,0.0,1.0,2.0,5.0,0.0,0.0,5.0,0.0,0.0,-1.0,4.0,33.0
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\PubSubPatternMessageListener.java,org.redisson.PubSubPatternMessageListener,class,1,2,5,0.75,0.5416667,44,0,7,0,3,8,17,0.0,-1.0,2.0,8.0,0.8,-1.0,1.0,28,1.0,2.0,5.0,0.75,0.5416667,44.0,0.0,7.0,0.0,3.0,8.0,17.0,0.0,-1.0,2.0,8.0,0.8,-1.0,1.0,28.0
C:\Users\syuuj\gitProject\redisson\redisson-hibernate\redisson-hibernate-53\src\test\java\org\redisson\hibernate\ItemReadWrite.java,ItemReadWrite,class,1,1,17,0.0,0.7777778,32,0,0,0,4,9,9,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0,31,1.0,1.0,17.0,0.0,0.7777778,32.0,0.0,0.0,0.0,4.0,9.0,9.0,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0,31.0
C:\Users\syuuj\gitProject\redisson\redisson-hibernate\redisson-hibernate-53\src\main\java\org\redisson\hibernate\JndiRedissonRegionFactory.java,JndiRedissonRegionFactory,class,1,0,7,0.0,0.75,31,0,4,0,2,2,6,9.0,1.0,1.0,2.0,0.6666667,0.0,1.0,36,1.0,0.0,7.0,0.0,0.75,31.0,0.0,4.0,0.0,2.0,2.0,6.0,9.0,1.0,1.0,2.0,0.6666667,0.0,1.0,36.0
C:\Users\syuuj\gitProject\redisson\redisson\src\test\java\org\redisson\RedissonLiveObjectServiceTest.java,org.redisson.RedissonLiveObjectServiceTest.Order,innerclass,1,0,5,0.3,0.6,19,0,0,0,2,5,5,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,1849,1.0,0.0,5.0,0.3,0.6,19.0,0.0,0.0,0.0,2.0,5.0,5.0,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,1849.0
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\api\RSortableAsync.java,org.redisson.api.RSortableAsync,interface,1,4,4,0.0,0.0,20,0,0,0,0,18,18,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,27,1.0,4.0,4.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,27.0
C:\Users\syuuj\gitProject\redisson\redisson\src\test\java\org\redisson\RedissonSemaphoreTest.java,org.redisson.RedissonSemaphoreTest.2,anonymous,1,0,1,,0.0,19,0,4,0,0,1,3,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,103,1.0,0.0,1.0,,0.0,19.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,101.0
C:\Users\syuuj\gitProject\redisson\redisson\src\test\java\org\redisson\RedissonSemaphoreTest.java,org.redisson.RedissonSemaphoreTest.1,anonymous,1,0,1,,0.0,12,0,4,0,0,1,2,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,75,1.0,0.0,1.0,,0.0,12.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,73.0
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\client\RedisPubSubConnection.java,org.redisson.client.RedisPubSubConnection.2,anonymous,1,0,3,,0.0,10,0,3,0,0,1,3,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,157,1.0,0.0,3.0,,0.0,10.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,157.0
C:\Users\syuuj\gitProject\redisson\redisson\src\main\java\org\redisson\client\RedisPubSubConnection.java,org.redisson.client.RedisPubSubConnection.1,anonymous,1,0,3,,0.0,10,0,3,0,0,1,3,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,110,1.0,0.0,3.0,,0.0,10.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,110.0
