file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\customer\attribute\CustomerOptionValue.java,com.salesmanager.core.model.customer.attribute.CustomerOptionValue,37,class,2,17,20,0.075,0.8828125,60,0,2,0,8,16,18,com.salesmanager.core.model.customer.attribute.CustomerOptionValue,0.0,0.13333334,0.0,18.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\customer\attribute\CustomerOptionDescription.java,com.salesmanager.core.model.customer.attribute.CustomerOptionDescription,27,class,2,3,9,0.2,0.73333335,19,0,0,0,3,5,5,com.salesmanager.core.model.customer.attribute.CustomerOptionDescription,0.0,0.0,0.0,4.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\order\orderaccount\OrderAccount.java,com.salesmanager.core.model.order.orderaccount.OrderAccount,28,class,2,2,15,0.07692308,0.8681318,47,0,1,0,7,13,13,com.salesmanager.core.model.order.orderaccount.OrderAccount,0.0,0.16666667,0.0,12.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-shop\src\main\java\com\salesmanager\shop\store\controller\category\ShoppingCategoryController.java,com.salesmanager.shop.store.controller.category.ShoppingCategoryController,65,class,1,1,37,0.2,0.775,343,0,95,0,10,12,70,com.salesmanager.shop.store.controller.category.ShoppingCategoryController,0.0,-1.0,129.0,13.0,0.09154929,-1.0,28.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\reference\language\LanguageService.java,com.salesmanager.core.business.services.reference.language.LanguageService,12,interface,1,15,3,0.0,0.0,8,0,0,0,0,6,6,com.salesmanager.core.business.services.reference.language.LanguageService,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-shop-model\src\main\java\com\salesmanager\shop\model\shop\PersistableMerchantStore.java,com.salesmanager.shop.model.shop.PersistableMerchantStore,6,class,2,0,2,0.33333334,0.6666667,17,0,0,0,3,4,4,com.salesmanager.shop.model.shop.PersistableMerchantStore,0.0,0.0,0.0,4.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\common\FunctionProcessor.java,com.salesmanager.core.business.modules.common.FunctionProcessor,6,interface,1,2,3,0.0,0.0,4,0,0,0,0,2,2,com.salesmanager.core.business.modules.common.FunctionProcessor,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\repositories\customer\attribute\CustomerOptionValueRepository.java,com.salesmanager.core.business.repositories.customer.attribute.CustomerOptionValueRepository,11,interface,1,1,3,0.0,0.0,5,0,0,0,0,3,3,com.salesmanager.core.business.repositories.customer.attribute.CustomerOptionValueRepository,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-shop\src\main\java\com\salesmanager\shop\utils\ImageFilePathUtils.java,com.salesmanager.shop.utils.ImageFilePathUtils,16,class,2,0,2,0.33333334,0.33333334,12,0,2,0,1,3,3,com.salesmanager.shop.utils.ImageFilePathUtils,1.0,0.6666667,2.0,3.0,0.6,1.0,2.0
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\generic\SalesManagerEntity.java,com.salesmanager.core.model.generic.SalesManagerEntity,15,class,1,34,3,0.0,1.0,52,0,13,0,2,7,15,com.salesmanager.core.model.generic.SalesManagerEntity,0.0,-1.0,7.0,7.0,0.5,-1.0,3.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\modules\cms\impl\StaticContentCacheManagerImpl.java,com.salesmanager.core.business.modules.cms.impl.StaticContentCacheManagerImpl,21,class,2,0,1,1.0,0.44444445,16,0,1,0,3,3,3,com.salesmanager.core.business.modules.cms.impl.StaticContentCacheManagerImpl,2.0,0.0,0.0,5.0,1.0,0.5,0.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\services\order\orderproduct\OrderProductDownloadService.java,com.salesmanager.core.business.services.order.orderproduct.OrderProductDownloadService,9,interface,1,1,2,,0.0,3,0,0,0,0,1,1,com.salesmanager.core.business.services.order.orderproduct.OrderProductDownloadService,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-shop-model\src\main\java\com\salesmanager\shop\model\marketplace\MarketPlaceEntity.java,com.salesmanager.shop.model.marketplace.MarketPlaceEntity,5,class,2,1,1,-1.0,0.0,2,1,0,0,0,0,0,com.salesmanager.shop.model.marketplace.MarketPlaceEntity,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\repositories\reference\language\LanguageRepository.java,com.salesmanager.core.business.repositories.reference.language.LanguageRepository,8,interface,1,1,2,,0.0,3,0,0,0,0,1,1,com.salesmanager.core.business.repositories.reference.language.LanguageRepository,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-shop\src\main\java\com\salesmanager\shop\tags\ShopProductRelationshipTag.java,com.salesmanager.shop.tags.ShopProductRelationshipTag,30,class,2,1,18,0.16666667,0.71428573,66,0,27,0,7,5,14,com.salesmanager.shop.tags.ShopProductRelationshipTag,0.0,0.0,26.0,12.0,0.31578946,-1.0,13.0
C:\Users\syuuj\gitProject\shopizer\sm-shop-model\src\main\java\com\salesmanager\shop\model\references\ReadableZone.java,com.salesmanager.shop.model.references.ReadableZone,3,class,3,3,1,1.0,0.5,10,0,0,0,2,2,2,com.salesmanager.shop.model.references.ReadableZone,0.0,0.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-shop\src\test\java\com\salesmanager\test\shop\common\ServicesTestSupport.java,com.salesmanager.test.shop.common.ServicesTestSupport,45,class,1,12,33,0.2777778,0.44444445,113,11,45,0,1,9,9,com.salesmanager.test.shop.common.ServicesTestSupport,0.0,-1.0,75.0,7.0,0.085365854,-1.0,21.0
C:\Users\syuuj\gitProject\shopizer\sm-core\src\main\java\com\salesmanager\core\business\repositories\catalog\product\attribute\ProductOptionRepository.java,com.salesmanager.core.business.repositories.catalog.product.attribute.ProductOptionRepository,10,interface,1,1,3,0.0,0.0,8,0,0,0,0,6,6,com.salesmanager.core.business.repositories.catalog.product.attribute.ProductOptionRepository,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\shopizer\sm-core-model\src\main\java\com\salesmanager\core\model\catalog\product\ProductCriteria.java,com.salesmanager.core.model.catalog.product.ProductCriteria,8,class,2,4,2,0.05882353,0.8888889,65,0,0,0,9,18,18,com.salesmanager.core.model.catalog.product.ProductCriteria,0.0,0.0,0.0,18.0,1.0,-1.0,0.0
