,class,GodClass
0,com.salesmanager.core.model.customer.attribute.CustomerOptionValue,0.0
1,com.salesmanager.core.model.customer.attribute.CustomerOptionDescription,0.0
2,com.salesmanager.core.model.order.orderaccount.OrderAccount,0.0
3,com.salesmanager.shop.store.controller.category.ShoppingCategoryController,1.0
4,com.salesmanager.core.business.services.reference.language.LanguageService,0.0
5,com.salesmanager.core.business.modules.common.FunctionProcessor,0.0
6,com.salesmanager.core.business.repositories.customer.attribute.CustomerOptionValueRepository,0.0
7,com.salesmanager.shop.store.security.services.CredentialsService,0.0
8,com.salesmanager.shop.utils.ImageFilePathUtils,0.0
9,com.salesmanager.core.model.generic.SalesManagerEntity,0.0
10,com.salesmanager.core.business.modules.cms.impl.StaticContentCacheManagerImpl,0.0
11,com.salesmanager.core.business.services.order.orderproduct.OrderProductDownloadService,0.0
12,com.salesmanager.shop.model.marketplace.MarketPlaceEntity,0.0
13,com.salesmanager.core.business.repositories.reference.language.LanguageRepository,0.0
14,com.salesmanager.shop.tags.ShopProductRelationshipTag,0.0
15,com.salesmanager.shop.model.references.ReadableZone,0.0
16,com.salesmanager.shop.mapper.catalog.PersistableProductVariationMapper,0.0
17,com.salesmanager.test.shop.common.ServicesTestSupport,0.0
18,com.salesmanager.core.business.repositories.catalog.product.attribute.ProductOptionRepository,0.0
19,com.salesmanager.core.business.repositories.content.PageContentRepository,0.0
20,com.salesmanager.core.model.catalog.product.ProductCriteria,0.0
21,com.salesmanager.shop.model.catalog.product.ProductPrice,0.0
22,com.salesmanager.shop.model.customer.CustomerPassword,0.0
23,com.salesmanager.shop.admin.controller.ControllerConstants.Tiles.ContentImages,0.0
24,com.salesmanager.core.business.repositories.customer.CustomerRepositoryImpl,0.0
25,com.salesmanager.shop.mapper.inventory.ReadableInventoryMapper,0.0
26,com.salesmanager.shop.store.controller.ControllerConstants.Tiles.Pages,0.0
27,com.salesmanager.shop.model.shop.BreadcrumbItem,0.0
28,com.salesmanager.core.constants.SchemaConstant,0.0
29,com.salesmanager.shop.tags.OrderProductDownloadUrlTag,0.0
30,com.salesmanager.shop.model.catalog.product.attribute.api.ReadableProductAttributeEntity,0.0
31,com.salesmanager.shop.model.references.Address,0.0
32,com.salesmanager.test.content.ContentFolderTest,0.0
33,com.salesmanager.core.business.utils.ProductImageSizeUtils,0.0
34,com.salesmanager.shop.model.tax.PersistableTaxClass,0.0
35,com.salesmanager.core.model.system.optin.Optin,0.0
36,com.salesmanager.shop.model.shoppingcart.ReadableShoppingCartAttributeOption,0.0
37,com.salesmanager.shop.admin.model.catalog.ProductPrice,0.0
38,com.salesmanager.shop.model.catalog.product.ReadableProductList,0.0
39,com.salesmanager.core.business.services.catalog.product.type.ProductTypeService,0.0
40,com.salesmanager.core.business.utils.NumberUtils,0.0
41,com.salesmanager.shop.utils.ServiceRequestCriteriaBuilderUtils,0.0
42,com.salesmanager.shop.model.catalog.product.attribute.ReadableProductAttribute,0.0
43,com.salesmanager.shop.model.order.OrderProductEntity,0.0
44,com.salesmanager.shop.store.controller.product.facade.ProductTypeFacade,0.0
45,com.salesmanager.core.business.repositories.catalog.product.price.ProductPriceRepository,0.0
46,com.salesmanager.core.business.configuration.CoreApplicationConfiguration,0.0
47,com.salesmanager.core.business.modules.cms.content.infinispan.CmsStaticContentFileManagerImpl,0.0
48,com.salesmanager.shop.populator.customer.ReadableCustomerPopulator,0.0
49,com.salesmanager.shop.model.content.ContentName,0.0
50,com.salesmanager.shop.store.controller.store.facade.StoreFacade,0.0
51,com.salesmanager.shop.application.config.MultipleEntryPointsSecurityConfig,0.0
52,com.salesmanager.core.business.modules.cms.content.gcp.GCPStaticContentAssetsManagerImpl,0.0
53,com.salesmanager.core.model.reference.zone.Zone,0.0
54,com.salesmanager.shop.model.security.ReadablePermission,0.0
55,com.salesmanager.shop.store.api.v0.search.SearchRESTController,0.0
56,com.salesmanager.shop.model.system.Optin,0.0
57,com.salesmanager.shop.store.controller.language.facade.LanguageFacade,0.0
58,com.salesmanager.shop.store.controller.ControllerConstants.Tiles.Items,0.0
59,com.salesmanager.shop.model.order.PersistableOrderProduct,0.0
60,com.salesmanager.core.business.repositories.reference.country.CountryRepository,0.0
61,com.salesmanager.core.model.user.Permission,0.0
62,com.salesmanager.shop.store.api.v1.user.UserApi,0.0
63,com.salesmanager.shop.populator.customer.CustomerDeliveryAddressPopulator,0.0
64,com.salesmanager.shop.populator.customer.PersistableCustomerOptionValuePopulator,0.0
65,com.salesmanager.shop.store.security.customer.JWTCustomerAuthenticationManager,0.0
66,com.salesmanager.shop.model.references.ReadableCountry,0.0
67,com.salesmanager.shop.model.order.v1.ReadableOrderList,0.0
68,com.salesmanager.shop.populator.catalog.PersistableProductOptionPopulator,0.0
69,com.salesmanager.shop.model.catalog.product.ProductPriceRequest,0.0
70,com.salesmanager.core.model.reference.geozone.GeoZone,0.0
71,com.salesmanager.shop.model.shoppingcart.ShoppingCartData,0.0
72,com.salesmanager.core.business.services.content.ContentService,0.0
73,com.salesmanager.core.business.repositories.merchant.MerchantRepositoryImpl,0.0
74,com.salesmanager.shop.model.content.box.ReadableContentBoxFull,0.0
75,com.salesmanager.core.model.shipping.ShippingPackageType,0.0
76,com.salesmanager.shop.store.controller.LandingController,0.0
77,com.salesmanager.shop.store.controller.language.facade.LanguageFacadeImpl,0.0
78,com.salesmanager.shop.admin.controller.products.ProductReviewController,0.0
79,com.salesmanager.shop.mapper.catalog.ReadableProductOptionValueMapper,0.0
80,com.salesmanager.core.business.repositories.tax.TaxRateRepository,0.0
81,com.salesmanager.shop.model.catalog.SearchProductList,0.0
82,com.salesmanager.core.business.repositories.merchant.MerchantRepositoryCustom,0.0
83,com.salesmanager.shop.mapper.inventory.PersistableInventoryMapper,0.0
84,com.salesmanager.core.model.order.OrderChannel,0.0
85,com.salesmanager.shop.store.api.v1.payment.PaymentApi,0.0
86,com.salesmanager.shop.store.controller.security.facade.SecurityFacade,0.0
87,com.salesmanager.core.business.repositories.user.UserRepositoryCustom,0.0
88,com.salesmanager.core.business.modules.order.InvoiceModule,0.0
89,com.salesmanager.shop.store.api.v1.content.ContentAdministrationApi,0.0
90,com.salesmanager.test.shop.integration.cart.ShoppingCartAPIIntegrationTest,0.0
91,com.salesmanager.shop.store.controller.ControllerConstants,0.0
92,com.salesmanager.shop.model.order.total.ReadableOrderTotal,0.0
93,com.salesmanager.shop.admin.controller.orders.OrderActionsControler,0.0
94,com.salesmanager.shop.admin.model.permission.ShopPermission,0.0
95,com.salesmanager.shop.mapper.catalog.ReadableCatalogMapper,0.0
96,com.salesmanager.core.business.modules.cms.product.ProductFileManagerImpl,0.0
97,com.salesmanager.shop.utils.MerchantUtils,0.0
98,com.salesmanager.shop.utils.BeanUtils,0.0
99,com.salesmanager.shop.model.content.box.PersistableContentBox,0.0
100,com.salesmanager.shop.store.api.v1.store.MerchantStoreApi,0.0
101,com.salesmanager.core.business.modules.integration.payment.impl.MoneyOrderPayment,0.0
102,com.salesmanager.shop.store.api.v1.product.ProductVariationApi,0.0
103,com.salesmanager.shop.tags.ActiveLinkTag,0.0
104,com.salesmanager.shop.utils.AuthorizationUtils,0.0
105,com.salesmanager.core.model.reference.currency.Currency,0.0
106,com.salesmanager.shop.model.tax.ReadableTaxRate,0.0
107,com.salesmanager.shop.tags.ConfigurationTag,0.0
108,com.salesmanager.core.business.repositories.reference.zone.ZoneRepository,0.0
109,com.salesmanager.shop.model.order.history.OrderStatusHistory,0.0
110,com.salesmanager.core.business.modules.email.SESEmailSenderImpl,0.0
111,com.salesmanager.shop.filter.XssFilter,0.0
112,com.salesmanager.shop.model.shop.ContactForm,0.0
113,com.salesmanager.shop.model.order.v1.PersistableOrder,0.0
114,com.salesmanager.shop.application.config.AsyncConfig,0.0
115,com.salesmanager.core.business.services.reference.country.CountryService,0.0
116,com.salesmanager.shop.model.order.transaction.PersistablePayment,0.0
117,com.salesmanager.shop.store.controller.ControllerConstants.Views,0.0
118,com.salesmanager.shop.store.api.exception.ConstraintException,0.0
119,com.salesmanager.core.model.common.description.Description,0.0
120,com.salesmanager.shop.mapper.catalog.PersistableCatalogMapper,0.0
121,com.salesmanager.shop.admin.controller.products.FeaturedItemsController,0.0
122,com.salesmanager.shop.model.order.v1.ReadableOrder,0.0
123,com.salesmanager.core.business.modules.integration.shipping.impl.DefaultPackagingImpl,0.0
124,com.salesmanager.core.business.repositories.catalog.product.attribute.PageableProductOptionRepository,0.0
125,com.salesmanager.core.model.shipping.PackageDetails,0.0
126,com.salesmanager.shop.mapper.catalog.PersistableProductDefinitionMapper,0.0
127,com.salesmanager.core.model.catalog.product.availability.ProductAvailability,0.0
128,com.salesmanager.shop.model.catalog.ProductList,0.0
129,com.salesmanager.core.business.repositories.catalog.product.variation.PageableProductVariationRepository,0.0
130,com.salesmanager.shop.store.controller.search.facade.SearchFacade,0.0
