file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\spark\src\test\java\spark\FilterImplTest.java,spark.FilterImplTest$1,23,anonymous,1,0,2,,0.0,4,0,0,0,0,1,1,spark.FilterImplTest$23,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\templateview\FreeMarkerExample.java,spark.examples.templateview.FreeMarkerExample,9,class,1,0,3,,0.0,10,0,3,0,0,1,1,spark.examples.templateview.FreeMarkerExample,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,28,class,1,4,3,0.5,0.5,75,0,9,0,4,5,36,spark.route.RouteEntry,0.0,-1.0,8.0,13.0,0.61904764,-1.0,3.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,40,class,1,3,6,0.0,0.0,83,1,13,0,0,14,22,spark.resource.AbstractResource,0.0,-1.0,10.0,4.0,0.2857143,-1.0,2.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\servlet\SparkApplication.java,spark.servlet.SparkApplication,24,interface,1,2,0,0.0,0.0,5,0,0,0,0,2,2,spark.servlet.SparkApplication,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\transformer\DefaultTransformerExample.java,spark.examples.transformer.DefaultTransformerExample,8,class,1,0,4,,0.0,14,0,3,0,1,1,1,spark.examples.transformer.DefaultTransformerExample,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\exception\NotFoundException.java,spark.examples.exception.NotFoundException,3,class,4,5,0,-1.0,,3,0,0,0,1,0,0,spark.examples.exception.NotFoundException,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,28,class,1,6,8,0.05263158,0.84999996,79,0,0,0,9,20,20,spark.http.matching.RouteContext,0.0,-1.0,0.0,18.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\http\matching\Routes.java,spark.http.matching.Routes,28,class,1,1,9,,0.0,41,0,24,0,0,1,12,spark.http.matching.Routes,0.0,-1.0,8.0,0.0,0.0,-1.0,5.0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\route\HttpMethod.java,spark.route.HttpMethod,24,enum,1,11,1,0.0,0.0,11,0,4,0,1,1,4,spark.route.HttpMethod,0.0,0.0,1.0,1.0,0.5,-1.0,1.0
