file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,RefusedBequest
C:\Users\syuuj\gitProject\spark\src\test\java\spark\FilterImplTest.java,spark.FilterImplTest.1,anonymous,1,0,2,,0.0,4,0,0,0,0,1,1,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,23,1.0,0.0,2.0,,0.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,0.0,23.0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\templateview\FreeMarkerExample.java,spark.examples.templateview.FreeMarkerExample,class,1,0,3,,0.0,10,0,3,0,0,1,1,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,9,1.0,0.0,3.0,,0.0,10.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,1.0,9.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\route\RouteEntry.java,spark.route.RouteEntry,class,1,4,3,0.5,0.5,75,0,9,0,4,5,36,0.0,-1.0,8.0,13.0,0.61904764,-1.0,3.0,28,1.0,4.0,3.0,0.5,0.5,75.0,0.0,9.0,0.0,4.0,5.0,36.0,0.0,-1.0,8.0,13.0,0.61904764,-1.0,3.0,28.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractResource.java,spark.resource.AbstractResource,class,1,3,6,0.0,0.0,83,1,13,0,0,14,22,0.0,-1.0,10.0,4.0,0.2857143,-1.0,2.0,40,1.0,3.0,6.0,0.0,0.0,83.0,1.0,13.0,0.0,0.0,14.0,22.0,0.0,-1.0,10.0,4.0,0.2857143,-1.0,2.0,40.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\servlet\SparkApplication.java,spark.servlet.SparkApplication,interface,1,2,0,0.0,0.0,5,0,0,0,0,2,2,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,24,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,24.0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\transformer\DefaultTransformerExample.java,spark.examples.transformer.DefaultTransformerExample,class,1,0,4,,0.0,14,0,3,0,1,1,1,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0,8,1.0,0.0,4.0,,0.0,14.0,0.0,3.0,0.0,1.0,1.0,1.0,0.0,-1.0,2.0,1.0,0.33333334,-1.0,1.0,8.0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\exception\NotFoundException.java,spark.examples.exception.NotFoundException,class,4,5,0,-1.0,,3,0,0,0,1,0,0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,3,4.0,5.0,0.0,-1.0,,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,3.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\http\matching\RouteContext.java,spark.http.matching.RouteContext,class,1,6,8,0.05263158,0.84999996,79,0,0,0,9,20,20,0.0,-1.0,0.0,18.0,1.0,-1.0,0.0,28,1.0,6.0,8.0,0.05263158,0.84999996,79.0,0.0,0.0,0.0,9.0,20.0,20.0,0.0,-1.0,0.0,18.0,1.0,-1.0,0.0,28.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\http\matching\Routes.java,spark.http.matching.Routes,class,1,1,9,,0.0,41,0,24,0,0,1,12,0.0,-1.0,8.0,0.0,0.0,-1.0,5.0,28,1.0,1.0,9.0,,0.0,41.0,0.0,24.0,0.0,0.0,1.0,12.0,0.0,-1.0,8.0,0.0,0.0,-1.0,5.0,28.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\route\HttpMethod.java,spark.route.HttpMethod,enum,1,11,1,0.0,0.0,11,0,4,0,1,1,4,0.0,0.0,1.0,1.0,0.5,-1.0,1.0,24,1.0,9.0,1.0,0.0,0.0,11.0,0.0,4.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,0.5,-1.0,1.0,24.0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\UnmapTest.java,spark.UnmapTest,class,1,0,4,,0.0,20,0,6,0,1,1,1,0.0,-1.0,8.0,0.0,0.0,-1.0,2.0,12,,,,,,,,,,,,,,,,,,,,,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\filter\DummyFilter.java,spark.examples.filter.DummyFilter,class,1,1,3,,0.0,13,0,4,0,1,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,26,1.0,1.0,3.0,,0.0,13.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,26.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\embeddedserver\jetty\HttpRequestWrapper.java,spark.embeddedserver.jetty.HttpRequestWrapper.CachedServletInputStream,innerclass,2,0,3,0.2,0.5,20,0,3,0,1,6,8,0.0,0.0,1.0,1.0,0.5,-1.0,1.0,76,2.0,0.0,3.0,0.2,0.5,20.0,0.0,3.0,0.0,1.0,6.0,8.0,0.0,0.0,1.0,1.0,0.5,-1.0,1.0,76.0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\customerrorpages\CustomErrorPagesTest.java,spark.customerrorpages.CustomErrorPagesTest,class,1,0,8,0.6666667,0.5833334,50,0,10,0,6,6,7,0.0,-1.0,12.0,11.0,0.47826087,-1.0,4.0,18,1.0,0.0,8.0,0.6666667,0.5833334,50.0,0.0,10.0,0.0,6.0,6.0,7.0,0.0,-1.0,12.0,11.0,0.47826087,-1.0,4.0,18.0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\serialization\InputStreamSerializerTest.java,spark.serialization.InputStreamSerializerTest,class,3,0,4,1.0,0.0,26,0,5,1,1,2,2,0.0,-1.0,2.0,0.0,0.0,-1.0,2.0,8,,,,,,,,,,,,,,,,,,,,,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\CustomErrorPages.java,spark.CustomErrorPages.SingletonHolder,innerclass,1,0,1,-1.0,,3,0,0,0,1,0,0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,114,1.0,0.0,1.0,-1.0,,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,114.0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\util\ResourceUtilsTest.java,spark.util.ResourceUtilsTest,class,1,0,4,0.0,0.5,14,0,7,0,1,2,2,0.0,-1.0,4.0,0.0,0.0,-1.0,3.0,17,1.0,0.0,4.0,0.0,0.5,14.0,0.0,7.0,0.0,1.0,2.0,2.0,0.0,-1.0,4.0,0.0,0.0,-1.0,3.0,17.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\utils\urldecoding\Utf8Appendable.java,spark.utils.urldecoding.Utf8Appendable,class,5,3,5,0.5833333,0.7,102,1,7,1,8,10,24,0.0,-1.0,1.0,36.0,0.972973,-1.0,1.0,40,5.0,3.0,5.0,0.5833333,0.7,102.0,1.0,7.0,1.0,8.0,10.0,24.0,0.0,-1.0,1.0,36.0,0.972973,-1.0,1.0,40.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\ExceptionHandlerImpl.java,spark.ExceptionHandlerImpl,class,1,3,4,0.5,0.25,13,0,0,0,1,4,4,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,19,1.0,3.0,4.0,0.5,0.25,13.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,-1.0,0.0,3.0,1.0,-1.0,0.0,19.0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\util\SparkTestUtil.java,spark.util.SparkTestUtil.1,anonymous,1,0,3,,0.0,18,0,5,0,0,1,4,0.0,0.0,3.0,0.0,0.0,-1.0,2.0,69,1.0,0.0,3.0,,0.0,18.0,0.0,5.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,-1.0,2.0,69.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\TemplateViewRouteImpl.java,spark.TemplateViewRouteImpl,class,2,2,6,0.0,0.0,27,0,2,0,0,6,6,0.0,0.2,1.0,0.0,0.0,-1.0,1.0,27,2.0,2.0,6.0,0.0,0.0,27.0,0.0,2.0,0.0,0.0,6.0,6.0,0.0,0.2,1.0,0.0,0.0,-1.0,1.0,27.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\utils\MimeParse.java,spark.utils.MimeParse,class,1,3,3,,0.85714287,126,0,22,2,1,7,34,0.0,-1.0,15.0,1.0,0.0625,-1.0,5.0,13,1.0,3.0,3.0,,0.85714287,126.0,0.0,22.0,2.0,1.0,7.0,34.0,0.0,-1.0,15.0,1.0,0.0625,-1.0,5.0,13.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\http\matching\Halt.java,spark.http.matching.Halt,class,1,1,3,,0.0,11,0,4,0,0,1,2,0.0,-1.0,3.0,0.0,0.0,-1.0,2.0,26,1.0,1.0,3.0,,0.0,11.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,-1.0,3.0,0.0,0.0,-1.0,2.0,26.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\Routable.java,spark.Routable,class,1,7,11,0.0,0.95652175,208,1,12,0,1,69,71,0.0,-1.0,65.0,5.0,0.071428575,-1.0,2.0,25,1.0,7.0,11.0,0.0,0.95652175,208.0,1.0,12.0,0.0,1.0,69.0,71.0,0.0,-1.0,65.0,5.0,0.071428575,-1.0,2.0,25.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\RequestResponseFactory.java,spark.RequestResponseFactory,class,1,6,5,0.0,0.0,13,0,0,0,0,4,4,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,24,1.0,6.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,24.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\resource\AbstractFileResolvingResource.java,spark.resource.AbstractFileResolvingResource,class,2,8,5,0.0,0.0,99,2,23,0,0,8,23,1.0,0.75,17.0,4.0,0.1904762,0.0,6.0,37,2.0,8.0,5.0,0.0,0.0,99.0,2.0,23.0,0.0,0.0,8.0,23.0,1.0,0.75,17.0,4.0,0.1904762,0.0,6.0,37.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\embeddedserver\NotSupportedException.java,spark.embeddedserver.NotSupportedException,class,4,2,1,,1.0,9,0,0,0,1,2,2,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,22,4.0,2.0,1.0,,1.0,9.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,22.0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\BooksIntegrationTest.java,spark.BooksIntegrationTest,class,1,1,10,0.33333334,0.8125,125,0,30,1,5,16,19,0.0,-1.0,28.0,23.0,0.4509804,-1.0,6.0,26,1.0,1.0,10.0,0.33333334,0.8125,125.0,0.0,30.0,1.0,5.0,16.0,19.0,0.0,-1.0,28.0,23.0,0.4509804,-1.0,6.0,26.0,0
C:\Users\syuuj\gitProject\spark\src\test\java\spark\examples\transformer\JsonTransformer.java,spark.examples.transformer.JsonTransformer,class,1,2,2,,0.0,6,0,1,0,1,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,7,1.0,2.0,2.0,,0.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,7.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\ssl\SslStores.java,spark.ssl.SslStores,class,1,7,1,1.0,0.51515156,46,0,0,0,6,11,11,0.0,-1.0,0.0,12.0,1.0,-1.0,0.0,22,1.0,7.0,1.0,1.0,0.51515156,46.0,0.0,0.0,0.0,6.0,11.0,11.0,0.0,-1.0,0.0,12.0,1.0,-1.0,0.0,22.0,0
C:\Users\syuuj\gitProject\spark\src\main\java\spark\utils\MimeParse.java,spark.utils.MimeParse.FitnessAndQuality,innerclass,1,0,1,,0.33333334,22,0,0,0,3,2,6,0.0,-1.0,0.0,10.0,1.0,-1.0,0.0,103,1.0,0.0,1.0,,0.33333334,22.0,0.0,0.0,0.0,3.0,2.0,6.0,0.0,-1.0,0.0,10.0,1.0,-1.0,0.0,103.0,0
