file,class_x,method_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line,class_y,method_y,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,accept/0,1,0,4,7,1,1,0,0,0,0,76,io.vertx.core.net.impl.NetServerImpl,accept/0,1.0,3.0,0.75,1.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"listen/3[int,java.lang.String,io.vertx.core.Handler>]",2,2,1,3,1,0,3,0,0,0,143,io.vertx.core.net.impl.NetServerImpl,"listen/3[int,java.lang.String,io.vertx.core.Handler]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,connectHandler/1[io.vertx.core.Handler],1,1,2,7,1,0,1,0,0,0,90,io.vertx.core.net.impl.NetServerImpl,connectHandler/1[io.vertx.core.Handler],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,createMetrics/1[io.vertx.core.net.SocketAddress],0,1,2,9,2,1,1,0,0,0,121,io.vertx.core.net.impl.NetServerImpl,createMetrics/1[io.vertx.core.net.SocketAddress],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"listen/2[io.vertx.core.net.SocketAddress,io.vertx.core.Handler>]",2,1,3,12,1,1,2,0,0,0,181,io.vertx.core.net.impl.NetServerImpl,"listen/2[io.vertx.core.net.SocketAddress,io.vertx.core.Handler]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,close/1[io.vertx.core.Handler>],0,2,1,6,0,2,1,0,0,0,210,io.vertx.core.net.impl.NetServerImpl,close/1[io.vertx.core.Handler],1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,"listen/2[int,java.lang.String]",2,2,1,3,1,0,2,0,0,0,138,io.vertx.core.net.impl.NetServerImpl,"listen/2[int,java.lang.String]",0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,close/1[io.vertx.core.Promise],2,1,2,8,0,2,1,0,0,0,218,io.vertx.core.net.impl.NetServerImpl,close/1[io.vertx.core.Promise],0.0,3.0,1.0,0.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,listen/0,0,3,1,3,1,0,0,0,0,0,195,io.vertx.core.net.impl.NetServerImpl,listen/0,2.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\vert.x\src\main\java\io\vertx\core\net\impl\NetServerImpl.java,io.vertx.core.net.impl.NetServerImpl,close/0,0,2,1,6,1,2,0,0,0,0,130,io.vertx.core.net.impl.NetServerImpl,close/0,1.0,0.0,0.0,1.0
