,class,RefusedBequest
0,io.vertx.core.net.impl.NetServerImpl,0.0
1,io.vertx.core.eventbus.impl.codecs.ShortMessageCodec,0.0
2,io.vertx.test.fakemetrics.FakeMetricsBase,0.0
3,io.vertx.core.cli.impl.CLIConfiguratorTest.CommandForParsedAsList,0.0
4,io.vertx.core.impl.launcher.commands.HiddenCommandFactory,0.0
5,io.vertx.core.http.impl.HttpClientConnection,0.0
6,io.vertx.core.file.FileSystemProps,0.0
7,io.vertx.core.spi.cluster.impl.selector.Index,0.0
8,io.vertx.core.DeploymentTest.7,0.0
9,io.vertx.core.eventbus.impl.codecs.FloatMessageCodec,0.0
10,io.vertx.core.file.impl.FileSystemImpl.2,0.0
11,io.vertx.core.file.impl.FileSystemImpl.1,0.0
12,io.vertx.core.DeploymentTest.5,0.0
13,io.vertx.core.DeploymentTest.3,0.0
14,io.vertx.core.file.impl.FileSystemImpl.6,0.0
15,io.vertx.core.DeploymentTest.2,0.0
16,io.vertx.core.file.impl.FileSystemImpl.5,0.0
17,io.vertx.core.DeploymentTest.1,0.0
18,io.vertx.core.file.impl.FileSystemImpl.4,0.0
19,io.vertx.core.impl.HAManager,0.0
20,io.vertx.core.file.impl.FileSystemImpl.9,0.0
21,io.vertx.core.http.impl.WebSocketEndpoint.Waiter,0.0
22,io.vertx.core.file.impl.FileSystemImpl.8,0.0
23,io.vertx.core.net.impl.ProxyFilter,0.0
24,io.vertx.core.DeploymentTest.9,0.0
25,io.vertx.core.eventbus.EventBusRegistrationRaceTest,0.0
26,io.vertx.core.net.SSLEngineOptions,0.0
27,io.vertx.core.cli.ArgumentConverter,0.0
28,io.vertx.core.net.ProxyOptions,0.0
29,io.vertx.core.http.Http2ClientConnectionTest,0.0
30,io.vertx.test.fakedns.FakeDNSServer.TestDnsProtocolUdpCodecFactory.TestAAAARecordEncoder,0.0
31,io.vertx.core.eventbus.impl.codecs.StringMessageCodec,0.0
32,io.vertx.core.FutureTestBase,0.0
33,io.vertx.test.fakedns.FakeDNSServer.9,0.0
34,io.vertx.test.spi.FakeFactory,0.0
35,io.vertx.core.http.GoAway,0.0
36,io.vertx.core.impl.launcher.commands.ExecUtils,0.0
37,io.vertx.core.json.pointer.JsonPointerIterator,0.0
38,io.vertx.core.net.impl.NetServerImpl.NetSocketStream,0.0
39,io.vertx.it.SLF4JNoImplTest,0.0
