file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\configurable\ConfigurablePageProcessor.java,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,14,class,1,1,7,1.0,0.33333334,33,0,12,0,2,3,9,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,0.0,-1.0,10.0,4.0,0.2857143,-1.0,2.0
C:\Users\syuuj\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,17,class,1,0,14,0.4,0.33333334,96,0,23,0,1,6,17,us.codecraft.webmagic.selector.XpathSelectorTest,0.0,-1.0,0.0,11.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\model\annotation\ComboExtract.java,us.codecraft.webmagic.model.annotation.ComboExtract$Source,55,enum,1,0,0,-1.0,0.0,3,0,0,0,0,0,0,us.codecraft.webmagic.model.annotation.ComboExtract$Source,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\Selector.java,us.codecraft.webmagic.selector.Selector,11,interface,1,19,0,0.0,0.0,4,0,0,0,0,2,2,us.codecraft.webmagic.selector.Selector,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\proxy\ProxyTest.java,us.codecraft.webmagic.proxy.ProxyTest,13,class,2,0,1,,0.0,24,0,2,1,1,1,2,us.codecraft.webmagic.proxy.ProxyTest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\model\PageModelExtractorTest.java,us.codecraft.webmagic.model.PageModelExtractorTest,21,class,1,0,12,1.0,0.0,66,0,9,9,1,9,9,us.codecraft.webmagic.model.PageModelExtractorTest,0.0,-1.0,27.0,0.0,0.0,-1.0,10.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\downloader\CustomRedirectStrategy.java,us.codecraft.webmagic.downloader.CustomRedirectStrategy,23,class,2,1,9,,0.0,22,0,9,0,1,1,3,us.codecraft.webmagic.downloader.CustomRedirectStrategy,0.0,0.0,6.0,0.0,0.0,-1.0,4.0
C:\Users\syuuj\gitProject\webmagic\webmagic-selenium\src\test\java\us\codecraft\webmagic\downloader\SeleniumTest.java,us.codecraft.webmagic.downloader.SeleniumTest,20,class,1,0,6,,0.0,17,0,12,0,0,1,1,us.codecraft.webmagic.downloader.SeleniumTest,0.0,-1.0,6.0,0.0,0.0,-1.0,5.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\model\HttpRequestBody.java,us.codecraft.webmagic.model.HttpRequestBody$ContentType,21,innerclass,1,0,0,-1.0,,6,0,0,0,4,0,0,us.codecraft.webmagic.model.HttpRequestBody$ContentType,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\monitor\CustomSpiderStatusMXBean.java,us.codecraft.webmagic.monitor.CustomSpiderStatusMXBean,6,interface,1,1,1,,0.0,3,0,0,0,0,1,1,us.codecraft.webmagic.monitor.CustomSpiderStatusMXBean,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-samples\src\main\java\us\codecraft\webmagic\samples\HuxiuProcessor.java,us.codecraft.webmagic.samples.HuxiuProcessor,13,class,1,1,7,0.0,0.0,14,0,12,0,0,3,3,us.codecraft.webmagic.samples.HuxiuProcessor,0.0,-1.0,5.0,0.0,0.0,-1.0,2.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\HtmlTest.java,us.codecraft.webmagic.HtmlTest,15,class,1,0,6,0.0,0.0,34,0,13,0,0,6,6,us.codecraft.webmagic.HtmlTest,0.0,-1.0,9.0,0.0,0.0,-1.0,3.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\handler\SubPipeline.java,us.codecraft.webmagic.handler.SubPipeline,10,interface,1,2,4,,0.0,3,0,0,0,0,1,1,us.codecraft.webmagic.handler.SubPipeline,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-samples\src\main\java\us\codecraft\webmagic\model\samples\JokejiModel.java,us.codecraft.webmagic.model.samples.JokejiModel,16,class,1,1,9,,1.0,7,0,11,0,2,1,1,us.codecraft.webmagic.model.samples.JokejiModel,0.0,-1.0,10.0,1.0,0.09090909,-1.0,5.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\model\HasKey.java,us.codecraft.webmagic.model.HasKey,12,interface,1,5,1,,0.0,3,0,0,0,0,1,1,us.codecraft.webmagic.model.HasKey,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\model\GithubRepo.java,us.codecraft.webmagic.model.GithubRepo,14,class,2,1,9,0.0,0.6666667,12,0,6,0,1,3,3,us.codecraft.webmagic.model.GithubRepo,1.0,0.0,2.0,3.0,0.6,1.0,1.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\utils\HttpConstant.java,us.codecraft.webmagic.utils.HttpConstant,8,class,1,0,0,-1.0,0.0,18,0,0,3,0,0,0,us.codecraft.webmagic.utils.HttpConstant,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
