file,class,method,fanin_x,fanout_x,wmc_x,loc_x,returnsQty_x,variablesQty_x,parametersQty_x,loopQty_x,anonymousClassesQty_x,innerClassesQty_x,ATFD_x,ATLD_x,LAA_x,FDP_x,line_x,fanin_y,fanout_y,wmc_y,loc_y,returnsQty_y,variablesQty_y,parametersQty_y,loopQty_y,anonymousClassesQty_y,innerClassesQty_y,ATFD_y,ATLD_y,LAA_y,FDP_y,line_y,qualifiedName,FeatureEnvy
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\configurable\ConfigurablePageProcessor.java,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,"ConfigurablePageProcessor/2[us.codecraft.webmagic.Site,java.util.List]",1,0,1,4,0,0,2,0,0,0,0.0,2.0,1.0,0.0,20,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,20.0,us.codecraft.webmagic.configurable.ConfigurablePageProcessor.ConfigurablePageProcessor,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\configurable\ConfigurablePageProcessor.java,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,getSite/0,0,0,1,3,1,0,0,0,0,0,0.0,1.0,1.0,0.0,47,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,47.0,us.codecraft.webmagic.configurable.ConfigurablePageProcessor.getSite,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\main\java\us\codecraft\webmagic\configurable\ConfigurablePageProcessor.java,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,process/1[us.codecraft.webmagic.Page],0,11,7,22,0,2,1,1,0,0,10.0,1.0,0.09090909,2.0,26,0.0,11.0,7.0,22.0,0.0,2.0,1.0,1.0,0.0,0.0,10.0,1.0,0.09090909,2.0,26.0,us.codecraft.webmagic.configurable.ConfigurablePageProcessor.process,1.0
C:\Users\syuuj\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,test/0,0,2,1,7,0,4,0,0,0,0,0.0,0.0,-1.0,0.0,920,0.0,2.0,1.0,7.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,920.0,us.codecraft.webmagic.selector.XpathSelectorTest.test,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,testOschina/0,0,8,1,6,0,1,0,0,0,0,0.0,1.0,1.0,0.0,1359,0.0,8.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1359.0,us.codecraft.webmagic.selector.XpathSelectorTest.testOschina,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,performanceTest/0,0,5,5,25,0,8,0,4,0,0,0.0,4.0,1.0,0.0,1383,0.0,5.0,5.0,25.0,0.0,8.0,0.0,4.0,0.0,0.0,0.0,4.0,1.0,0.0,1383.0,us.codecraft.webmagic.selector.XpathSelectorTest.performanceTest,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,testXpath2Selector/0,0,2,1,5,0,2,0,0,0,0,0.0,1.0,1.0,0.0,1375,0.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1375.0,us.codecraft.webmagic.selector.XpathSelectorTest.testXpath2Selector,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,testXPath2/0,0,2,1,5,0,2,0,0,0,0,0.0,0.0,-1.0,0.0,1367,0.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1367.0,us.codecraft.webmagic.selector.XpathSelectorTest.testXPath2,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-saxon\src\test\java\us\codecraft\webmagic\selector\XpathSelectorTest.java,us.codecraft.webmagic.selector.XpathSelectorTest,parserPerformanceTest/0,0,0,8,45,0,12,0,7,0,0,0.0,5.0,1.0,0.0,1414,0.0,0.0,8.0,45.0,0.0,12.0,0.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,1414.0,us.codecraft.webmagic.selector.XpathSelectorTest.parserPerformanceTest,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\Selector.java,us.codecraft.webmagic.selector.Selector,selectList/1[java.lang.String],6,0,1,1,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,28,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,28.0,us.codecraft.webmagic.selector.Selector.selectList,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\selector\Selector.java,us.codecraft.webmagic.selector.Selector,select/1[java.lang.String],6,0,1,1,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,20,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,20.0,us.codecraft.webmagic.selector.Selector.select,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\proxy\ProxyTest.java,us.codecraft.webmagic.proxy.ProxyTest,before/0,0,0,2,6,0,1,0,1,0,0,0.0,0.0,-1.0,0.0,18,0.0,0.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,18.0,us.codecraft.webmagic.proxy.ProxyTest.before,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\model\PageModelExtractorTest.java,us.codecraft.webmagic.model.PageModelExtractorTest,testXpath/0,0,3,1,4,0,1,0,0,0,0,3.0,0.0,0.0,2.0,93,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,93.0,us.codecraft.webmagic.model.PageModelExtractorTest.testXpath,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\model\PageModelExtractorTest.java,us.codecraft.webmagic.model.PageModelExtractorTest,testExtractInt/0,0,3,1,4,0,1,0,0,0,0,3.0,0.0,0.0,2.0,105,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,105.0,us.codecraft.webmagic.model.PageModelExtractorTest.testExtractInt,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\model\PageModelExtractorTest.java,us.codecraft.webmagic.model.PageModelExtractorTest,testExtractIntList/0,0,3,1,4,0,1,0,0,0,0,3.0,0.0,0.0,2.0,117,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,117.0,us.codecraft.webmagic.model.PageModelExtractorTest.testExtractIntList,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\model\PageModelExtractorTest.java,us.codecraft.webmagic.model.PageModelExtractorTest,testExtractJson/0,0,3,1,4,0,1,0,0,0,0,3.0,0.0,0.0,2.0,135,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,135.0,us.codecraft.webmagic.model.PageModelExtractorTest.testExtractJson,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\model\PageModelExtractorTest.java,us.codecraft.webmagic.model.PageModelExtractorTest,testExtractByUrl/0,0,3,1,4,0,1,0,0,0,0,3.0,0.0,0.0,2.0,141,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,141.0,us.codecraft.webmagic.model.PageModelExtractorTest.testExtractByUrl,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\model\PageModelExtractorTest.java,us.codecraft.webmagic.model.PageModelExtractorTest,testExtractDateList/0,0,3,1,4,0,1,0,0,0,0,3.0,0.0,0.0,2.0,123,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,123.0,us.codecraft.webmagic.model.PageModelExtractorTest.testExtractDateList,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\model\PageModelExtractorTest.java,us.codecraft.webmagic.model.PageModelExtractorTest,testExtractDate/0,0,3,1,4,0,1,0,0,0,0,3.0,0.0,0.0,2.0,99,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,99.0,us.codecraft.webmagic.model.PageModelExtractorTest.testExtractDate,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\model\PageModelExtractorTest.java,us.codecraft.webmagic.model.PageModelExtractorTest,testExtractList/0,0,3,1,4,0,1,0,0,0,0,3.0,0.0,0.0,2.0,111,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,111.0,us.codecraft.webmagic.model.PageModelExtractorTest.testExtractList,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\model\PageModelExtractorTest.java,us.codecraft.webmagic.model.PageModelExtractorTest,testExtractCustomList/0,0,3,1,4,0,1,0,0,0,0,3.0,0.0,0.0,2.0,129,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,129.0,us.codecraft.webmagic.model.PageModelExtractorTest.testExtractCustomList,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\main\java\us\codecraft\webmagic\downloader\CustomRedirectStrategy.java,us.codecraft.webmagic.downloader.CustomRedirectStrategy,"getRedirect/3[us.codecraft.webmagic.downloader.HttpRequest,us.codecraft.webmagic.downloader.HttpResponse,us.codecraft.webmagic.downloader.HttpContext]",0,0,3,19,3,3,3,0,0,0,6.0,0.0,0.0,4.0,27,0.0,0.0,3.0,19.0,3.0,3.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,27.0,us.codecraft.webmagic.downloader.CustomRedirectStrategy.getRedirect,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-selenium\src\test\java\us\codecraft\webmagic\downloader\SeleniumTest.java,us.codecraft.webmagic.downloader.SeleniumTest,testSelenium/0,0,0,1,15,0,5,0,0,0,0,6.0,0.0,0.0,5.0,24,0.0,0.0,1.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,24.0,us.codecraft.webmagic.downloader.SeleniumTest.testSelenium,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-extension\src\test\java\us\codecraft\webmagic\monitor\CustomSpiderStatusMXBean.java,us.codecraft.webmagic.monitor.CustomSpiderStatusMXBean,getSchedulerName/0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,-1.0,0.0,8,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,8.0,us.codecraft.webmagic.monitor.CustomSpiderStatusMXBean.getSchedulerName,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-samples\src\main\java\us\codecraft\webmagic\samples\HuxiuProcessor.java,us.codecraft.webmagic.samples.HuxiuProcessor,process/1[us.codecraft.webmagic.Page],0,7,1,6,0,1,1,0,0,0,3.0,0.0,0.0,1.0,15,0.0,7.0,1.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,15.0,us.codecraft.webmagic.samples.HuxiuProcessor.process,1.0
C:\Users\syuuj\gitProject\webmagic\webmagic-samples\src\main\java\us\codecraft\webmagic\samples\HuxiuProcessor.java,us.codecraft.webmagic.samples.HuxiuProcessor,getSite/0,0,2,1,3,1,0,0,0,0,0,2.0,0.0,0.0,1.0,23,0.0,2.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,23.0,us.codecraft.webmagic.samples.HuxiuProcessor.getSite,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-samples\src\main\java\us\codecraft\webmagic\samples\HuxiuProcessor.java,us.codecraft.webmagic.samples.HuxiuProcessor,main/1[java.lang.String[]],0,4,1,3,0,0,1,0,0,0,0.0,0.0,-1.0,0.0,27,0.0,4.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,27.0,us.codecraft.webmagic.samples.HuxiuProcessor.main,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\HtmlTest.java,us.codecraft.webmagic.HtmlTest,testDisableJsoupHtmlEntityEscape/0,0,3,1,5,0,1,0,0,0,0,1.0,0.0,0.0,1.0,25,0.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,us.codecraft.webmagic.HtmlTest.testDisableJsoupHtmlEntityEscape,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\HtmlTest.java,us.codecraft.webmagic.HtmlTest,testRegexSelector/0,0,4,1,4,0,1,0,0,0,0,0.0,0.0,-1.0,0.0,18,0.0,4.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,18.0,us.codecraft.webmagic.HtmlTest.testRegexSelector,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\HtmlTest.java,us.codecraft.webmagic.HtmlTest,testEnableJsoupHtmlEntityEscape/0,0,3,1,4,0,1,0,0,0,0,0.0,0.0,-1.0,0.0,32,0.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,32.0,us.codecraft.webmagic.HtmlTest.testEnableJsoupHtmlEntityEscape,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\HtmlTest.java,us.codecraft.webmagic.HtmlTest,testAHrefExtract/0,0,3,1,4,0,1,0,0,0,0,0.0,0.0,-1.0,0.0,38,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,39.0,us.codecraft.webmagic.HtmlTest.testAHrefExtract,0.0
C:\Users\syuuj\gitProject\webmagic\webmagic-core\src\test\java\us\codecraft\webmagic\HtmlTest.java,us.codecraft.webmagic.HtmlTest,testNthNodesGet/0,0,5,1,6,0,2,0,0,0,0,3.0,0.0,0.0,2.0,44,0.0,5.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,45.0,us.codecraft.webmagic.HtmlTest.testNthNodesGet,1.0
