,class,GodClass
0,us.codecraft.webmagic.configurable.ConfigurablePageProcessor,0.0
1,us.codecraft.webmagic.selector.XpathSelectorTest,0.0
2,us.codecraft.webmagic.model.annotation.ComboExtract.Source,0.0
3,us.codecraft.webmagic.selector.Selector,0.0
4,us.codecraft.webmagic.proxy.ProxyTest,0.0
5,us.codecraft.webmagic.model.PageModelExtractorTest,0.0
6,us.codecraft.webmagic.downloader.CustomRedirectStrategy,0.0
7,us.codecraft.webmagic.downloader.SeleniumTest,0.0
8,us.codecraft.webmagic.model.HttpRequestBody.ContentType,0.0
9,us.codecraft.webmagic.monitor.CustomSpiderStatusMXBean,0.0
10,us.codecraft.webmagic.samples.HuxiuProcessor,0.0
11,us.codecraft.webmagic.HtmlTest,0.0
12,us.codecraft.webmagic.handler.SubPipeline,0.0
13,us.codecraft.webmagic.model.samples.JokejiModel,0.0
14,us.codecraft.webmagic.model.HasKey,0.0
15,us.codecraft.webmagic.model.GithubRepo,0.0
16,us.codecraft.webmagic.utils.HttpConstant,0.0
17,us.codecraft.webmagic.samples.QzoneBlogProcessor,0.0
18,us.codecraft.webmagic.model.annotation.ExtractBy.Source,0.0
19,us.codecraft.webmagic.Request,0.0
20,us.codecraft.webmagic.pipeline.ResultItemsCollectorPipeline,0.0
21,us.codecraft.webmagic.model.ModelPageProcessorTest.ModelFoo,0.0
22,us.codecraft.webmagic.monitor.SpiderMonitorTest.1,0.0
23,us.codecraft.webmagic.selector.AndSelector,0.0
24,us.codecraft.webmagic.samples.HuabanProcessor,0.0
25,us.codecraft.webmagic.selector.Xpath2Selector,0.0
26,us.codecraft.webmagic.scripts.ScriptProcessorBuilder,0.0
27,us.codecraft.webmagic.model.formatter.BasicTypeFormatter.LongFormatter,0.0
28,us.codecraft.webmagic.downloader.HttpClientRequestContext,0.0
29,us.codecraft.webmagic.selector.LinksSelector,0.0
30,us.codecraft.webmagic.samples.AngularJSProcessor,0.0
31,us.codecraft.webmagic.selector.ExtractorsTest,0.0
32,us.codecraft.webmagic.samples.AmanzonPageProcessor,0.0
33,us.codecraft.webmagic.model.PageModelExtractorTest.ModelUrl,0.0
34,us.codecraft.webmagic.selector.ReplaceSelector,0.0
35,us.codecraft.webmagic.model.FieldExtractor,0.0
36,us.codecraft.webmagic.downloader.AbstractDownloader,0.0
37,us.codecraft.webmagic.monitor.TempProcessor,0.0
38,us.codecraft.webmagic.model.Extractor,0.0
39,us.codecraft.webmagic.downloader.HttpClientDownloaderTest.3,0.0
40,us.codecraft.webmagic.example.BaiduBaike,0.0
41,us.codecraft.webmagic.selector.Json,0.0
42,us.codecraft.webmagic.downloader.HttpClientDownloaderTest.2,0.0
43,us.codecraft.webmagic.downloader.HttpClientDownloaderTest.5,0.0
44,us.codecraft.webmagic.downloader.HttpClientDownloaderTest.4,0.0
45,us.codecraft.webmagic.samples.GooglePlayProcessor,0.0
46,us.codecraft.webmagic.downloader.HttpClientDownloaderTest.7,0.0
47,us.codecraft.webmagic.downloader.HttpClientDownloaderTest.6,0.0
48,us.codecraft.webmagic.downloader.HttpClientDownloaderTest.9,0.0
