file,class_x,method_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line,class_y,method_y,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\RefreshUrlPage.java,xdman.ui.components.RefreshUrlPage$3,actionPerformed/1[java.awt.event.ActionEvent],0,31,4,18,0,0,1,0,0,0,151,xdman.ui.components.RefreshUrlPage$149,actionPerformed/1[java.awt.event.ActionEvent],15.0,0.0,0.0,6.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\res\StringResource.java,xdman.ui.res.StringResource,"loadLang/2[java.lang.String,java.util.Properties]",1,1,3,16,2,2,2,0,0,0,35,xdman.ui.res.StringResource,"loadLang/2[java.lang.String,java.util.Properties]",1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\res\StringResource.java,xdman.ui.res.StringResource,get/1[java.lang.String],93,4,4,18,1,1,1,0,0,0,17,xdman.ui.res.StringResource,get/1[java.lang.String],3.0,4.0,0.5714286,2.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\ui\components\RefreshUrlPage.java,xdman.ui.components.RefreshUrlPage$2,actionPerformed/1[java.awt.event.ActionEvent],0,31,1,3,0,0,1,0,0,0,120,xdman.ui.components.RefreshUrlPage$118,actionPerformed/1[java.awt.event.ActionEvent],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,getCategory/0,6,0,1,3,1,0,0,0,0,0,48,xdman.DownloadEntry,getCategory/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,setOutputFormatIndex/1[int],2,0,1,3,0,0,1,0,0,0,121,xdman.DownloadEntry,setOutputFormatIndex/1[int],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,setFile/1[java.lang.String],6,0,1,3,0,0,1,0,0,0,36,xdman.DownloadEntry,setFile/1[java.lang.String],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,getQueueId/0,9,0,1,3,1,0,0,0,0,0,97,xdman.DownloadEntry,getQueueId/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,getState/0,20,0,1,3,1,0,0,0,0,0,40,xdman.DownloadEntry,getState/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,setDownloaded/1[long],2,0,1,3,0,0,1,0,0,0,68,xdman.DownloadEntry,setDownloaded/1[long],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,getProgress/0,2,0,1,3,1,0,0,0,0,0,81,xdman.DownloadEntry,getProgress/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,getDownloaded/0,2,0,1,3,1,0,0,0,0,0,64,xdman.DownloadEntry,getDownloaded/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,setStartedByUser/1[boolean],3,0,1,3,0,0,1,0,0,0,113,xdman.DownloadEntry,setStartedByUser/1[boolean],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,setSize/1[long],4,0,1,3,0,0,1,0,0,0,60,xdman.DownloadEntry,setSize/1[long],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,setDateStr/1[java.lang.String],0,0,1,3,0,0,1,0,0,0,105,xdman.DownloadEntry,setDateStr/1[java.lang.String],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,isStartedByUser/0,4,0,1,3,1,0,0,0,0,0,109,xdman.DownloadEntry,isStartedByUser/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,getTempFolder/0,10,3,2,6,1,0,0,0,0,0,125,xdman.DownloadEntry,getTempFolder/0,2.0,3.0,0.6,1.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,setCategory/1[int],3,0,1,3,0,0,1,0,0,0,52,xdman.DownloadEntry,setCategory/1[int],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,setTempFolder/1[java.lang.String],2,0,1,3,0,0,1,0,0,0,132,xdman.DownloadEntry,setTempFolder/1[java.lang.String],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,setProgress/1[int],2,0,1,3,0,0,1,0,0,0,85,xdman.DownloadEntry,setProgress/1[int],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,DownloadEntry/0,2,0,1,2,0,0,0,0,0,0,17,xdman.DownloadEntry,DownloadEntry/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\xdm\app\src\main\java\xdman\DownloadEntry.java,xdman.DownloadEntry,getFolder/0,2,0,1,3,1,0,0,0,0,0,89,xdman.DownloadEntry,getFolder/0,0.0,1.0,1.0,0.0
