file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\CustomTest.java,ysoserial.CustomTest,9,interface,1,3,1,,0.0,3,0,0,0,0,1,1,ysoserial.CustomTest,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\DynamicDependencies.java,ysoserial.payloads.DynamicDependencies,8,interface,1,5,0,-1.0,0.0,2,0,0,0,0,0,0,ysoserial.payloads.DynamicDependencies,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JavassistWeld1.java,ysoserial.payloads.JavassistWeld1,33,class,1,1,20,0.0,0.0,33,0,15,0,0,2,2,ysoserial.payloads.JavassistWeld1,0.0,-1.0,8.0,1.0,0.11111111,-1.0,6.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload,14,interface,1,39,1,,0.0,68,0,0,1,0,1,1,ysoserial.payloads.ObjectPayload,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Jython1.java,ysoserial.payloads.Jython1,46,class,2,1,12,0.0,0.0,24,0,8,0,0,2,3,ysoserial.payloads.Jython1,0.0,0.0,6.0,1.0,0.14285715,-1.0,4.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\C3P0.java,ysoserial.payloads.C3P0$PoolSource,62,innerclass,1,0,0,0.027777778,0.7777778,30,0,0,0,2,9,9,ysoserial.payloads.C3P0$PoolSource,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\MyfacesTest.java,ysoserial.payloads.MyfacesTest$MyfacesDeserializer$MockRequestContext,61,innerclass,1,0,2,,0.0,13,0,6,0,1,1,3,ysoserial.payloads.MyfacesTest$MyfacesDeserializer$MockRequestContext,0.0,-1.0,13.0,0.0,0.0,-1.0,5.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload$Utils,22,innerclass,1,0,5,0.0,0.0,65,0,19,0,0,5,20,ysoserial.payloads.ObjectPayload$Utils,0.0,-1.0,8.0,2.0,0.2,-1.0,4.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\secmgr\ExecCheckingSecurityManager.java,ysoserial.secmgr.ExecCheckingSecurityManager$ExecException,46,innerclass,4,0,1,0.16666667,0.625,16,0,4,0,2,4,4,ysoserial.secmgr.ExecCheckingSecurityManager$ExecException,0.0,0.0,0.0,5.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JSON1.java,ysoserial.payloads.JSON1,69,class,1,1,10,0.0,0.0,30,0,14,0,0,3,3,ysoserial.payloads.JSON1,0.0,-1.0,11.0,1.0,0.083333336,-1.0,6.0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,53,class,1,3,22,0.3,0.6111111,143,0,51,0,2,9,26,ysoserial.payloads.PayloadsTest,0.0,-1.0,37.0,3.0,0.075,-1.0,19.0
