file,class_x,method_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line,class_y,method_y,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\CustomTest.java,ysoserial.CustomTest,run/1[java.util.concurrent.Callable],1,0,1,1,0,0,1,0,0,0,11,ysoserial.CustomTest,run/1[java.util.concurrent.Callable],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JavassistWeld1.java,ysoserial.payloads.JavassistWeld1,main/1[java.lang.String[]],0,1,1,3,0,0,1,0,0,0,80,ysoserial.payloads.JavassistWeld1,main/1[java.lang.String[]],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JavassistWeld1.java,ysoserial.payloads.JavassistWeld1,getObject/1[java.lang.String],0,1,1,28,1,14,1,0,1,0,35,ysoserial.payloads.JavassistWeld1,getObject/1[java.lang.String],8.0,0.0,0.0,6.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload,getObject/1[java.lang.String],4,0,1,1,0,0,1,0,0,0,20,ysoserial.payloads.ObjectPayload,getObject/1[java.lang.String],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Jython1.java,ysoserial.payloads.Jython1,getObject/1[java.lang.String],0,1,2,19,1,10,1,0,0,0,48,ysoserial.payloads.Jython1,getObject/1[java.lang.String],6.0,0.0,0.0,4.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Jython1.java,ysoserial.payloads.Jython1,main/1[java.lang.String[]],0,1,1,3,0,0,1,0,0,0,105,ysoserial.payloads.Jython1,main/1[java.lang.String[]],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\C3P0.java,ysoserial.payloads.C3P0$PoolSource,"PoolSource/2[java.lang.String,java.lang.String]",1,0,1,4,0,0,2,0,0,0,67,ysoserial.payloads.C3P0$PoolSource,"PoolSource/2[java.lang.String,java.lang.String]",0.0,2.0,1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\C3P0.java,ysoserial.payloads.C3P0$PoolSource,setLogWriter/1[java.io.PrintWriter],0,0,1,2,0,0,1,0,0,0,77,ysoserial.payloads.C3P0$PoolSource,setLogWriter/1[java.io.PrintWriter],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\C3P0.java,ysoserial.payloads.C3P0$PoolSource,getParentLogger/0,0,0,1,3,1,0,0,0,0,0,80,ysoserial.payloads.C3P0$PoolSource,getParentLogger/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\C3P0.java,ysoserial.payloads.C3P0$PoolSource,setLoginTimeout/1[int],0,0,1,2,0,0,1,0,0,0,78,ysoserial.payloads.C3P0$PoolSource,setLoginTimeout/1[int],0.0,0.0,-1.0,0.0
