file,class,type,dit_x,fanin_x,fanout_x,lcc_x,lcom*_x,loc_x,noc_x,rfc_x,innerClassesQty_x,totalFieldsQty_x,totalMethodsQty_x,wmc_x,NprotM_x,BOvR_x,ATFD_x,ATLD_x,LAA_x,BUR_x,FDP_x,line_x,dit_y,fanin_y,fanout_y,lcc_y,lcom*_y,loc_y,noc_y,rfc_y,innerClassesQty_y,totalFieldsQty_y,totalMethodsQty_y,wmc_y,NprotM_y,BOvR_y,ATFD_y,ATLD_y,LAA_y,BUR_y,FDP_y,line_y,GodClass
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\CustomTest.java,ysoserial.CustomTest,interface,1,3,1,,0.0,3,0,0,0,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,9,,,,,,,,,,,,,,,,,,,,,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\DynamicDependencies.java,ysoserial.payloads.DynamicDependencies,interface,1,5,0,-1.0,0.0,2,0,0,0,0,0,0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,8,,,,,,,,,,,,,,,,,,,,,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JavassistWeld1.java,ysoserial.payloads.JavassistWeld1,class,1,1,20,0.0,0.0,33,0,15,0,0,2,2,0.0,-1.0,8.0,1.0,0.11111111,-1.0,6.0,33,,,,,,,,,,,,,,,,,,,,,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload,interface,1,39,1,,0.0,68,0,0,1,0,1,1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,14,1.0,18.0,1.0,,0.0,29.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,9.0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\Jython1.java,ysoserial.payloads.Jython1,class,2,1,12,0.0,0.0,24,0,8,0,0,2,3,0.0,0.0,6.0,1.0,0.14285715,-1.0,4.0,46,,,,,,,,,,,,,,,,,,,,,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\C3P0.java,ysoserial.payloads.C3P0.PoolSource,innerclass,1,0,0,0.027777778,0.7777778,30,0,0,0,2,9,9,0.0,-1.0,0.0,4.0,1.0,-1.0,0.0,62,,,,,,,,,,,,,,,,,,,,,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\MyfacesTest.java,ysoserial.payloads.MyfacesTest.MyfacesDeserializer.MockRequestContext,innerclass,1,0,2,,0.0,13,0,6,0,1,1,3,0.0,-1.0,13.0,0.0,0.0,-1.0,5.0,61,,,,,,,,,,,,,,,,,,,,,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\ObjectPayload.java,ysoserial.payloads.ObjectPayload.Utils,innerclass,1,0,5,0.0,0.0,65,0,19,0,0,5,20,0.0,-1.0,8.0,2.0,0.2,-1.0,4.0,22,1.0,0.0,3.0,0.0,0.0,26.0,0.0,6.0,0.0,0.0,2.0,7.0,0.0,-1.0,6.0,0.0,0.0,-1.0,4.0,16.0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\secmgr\ExecCheckingSecurityManager.java,ysoserial.secmgr.ExecCheckingSecurityManager.ExecException,innerclass,4,0,1,0.16666667,0.625,16,0,4,0,2,4,4,0.0,0.0,0.0,5.0,1.0,-1.0,0.0,46,4.0,0.0,1.0,0.16666667,0.625,16.0,0.0,4.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,5.0,1.0,-1.0,0.0,46.0,0
C:\Users\syuuj\gitProject\ysoserial\src\main\java\ysoserial\payloads\JSON1.java,ysoserial.payloads.JSON1,class,1,1,10,0.0,0.0,30,0,14,0,0,3,3,0.0,-1.0,11.0,1.0,0.083333336,-1.0,6.0,69,,,,,,,,,,,,,,,,,,,,,0
C:\Users\syuuj\gitProject\ysoserial\src\test\java\ysoserial\payloads\PayloadsTest.java,ysoserial.payloads.PayloadsTest,class,1,3,22,0.3,0.6111111,143,0,51,0,2,9,26,0.0,-1.0,37.0,3.0,0.075,-1.0,19.0,53,1.0,3.0,15.0,0.5,0.5,65.0,0.0,27.0,0.0,2.0,5.0,8.0,0.0,-1.0,20.0,3.0,0.13043478,-1.0,14.0,41.0,0
