,class,RefusedBequest
0,ysoserial.CustomTest,0
1,ysoserial.payloads.DynamicDependencies,0
2,ysoserial.payloads.JavassistWeld1,0
3,ysoserial.payloads.ObjectPayload,0
4,ysoserial.payloads.Jython1,0
5,ysoserial.payloads.C3P0.PoolSource,0
6,ysoserial.payloads.MyfacesTest.MyfacesDeserializer.MockRequestContext,0
7,ysoserial.payloads.ObjectPayload.Utils,0
8,ysoserial.secmgr.ExecCheckingSecurityManager.ExecException,0
9,ysoserial.payloads.JSON1,0
10,ysoserial.payloads.PayloadsTest,0
11,ysoserial.exploit.JBoss.ConnectionProviderContextImpl.2,0
12,ysoserial.exploit.RMIRegistryExploitTest,0
13,ysoserial.GeneratePayload,0
14,ysoserial.payloads.util.Reflections,0
15,ysoserial.payloads.JRMPReverseConnectSMTest.1,0
16,ysoserial.exploit.RMIRegistryExploit.1,0
17,ysoserial.payloads.JRMPReverseConnectTest,0
18,ysoserial.payloads.CommonsBeanutils1,0
19,ysoserial.exploit.JSF,0
20,ysoserial.payloads.PayloadsTest.1,0
21,ysoserial.payloads.PayloadsTest.2,0
22,ysoserial.payloads.PayloadsTest.3,0
23,ysoserial.CustomDeserializer,0
24,ysoserial.payloads.annotation.Dependencies.Utils,0
25,ysoserial.CustomPayloadArgs,0
26,ysoserial.payloads.JavassistWeld1.1,0
27,ysoserial.payloads.URLDNS.SilentURLStreamHandler,0
28,ysoserial.exploit.JBoss.ConnectionHandlerContextImpl,0
29,ysoserial.Deserializer,0
30,ysoserial.Serializer,0
31,ysoserial.Strings,0
32,ysoserial.payloads.BeanShell1,0
33,ysoserial.Strings.ToStringComparator,0
34,ysoserial.payloads.TestHarnessTest.ExecMockPayload,0
35,ysoserial.payloads.ReleaseableObjectPayload,0
36,ysoserial.payloads.MyfacesTest.MyfacesDeserializer.MockELResolver,0
37,ysoserial.payloads.TestHarnessTest,0
38,ysoserial.payloads.util.Gadgets.StubTransletPayload,0
39,ysoserial.payloads.util.Gadgets,0
40,ysoserial.payloads.Groovy1,0
41,ysoserial.exploit.JenkinsCLI.1,0
42,ysoserial.exploit.JBoss,0
43,ysoserial.payloads.RemoteClassLoadingTest.RemoteClassLoadingTestCallable,0
44,ysoserial.payloads.MyfacesTest.MyfacesDeserializer,0
45,ysoserial.exploit.JenkinsCLI,0
46,ysoserial.payloads.TestHarnessTest.ExecMockSerializable,0
47,ysoserial.secmgr.ExecCheckingSecurityManager,0
48,ysoserial.payloads.RemoteClassLoadingTest.Exploit,0
49,ysoserial.payloads.Wicket1,0
50,ysoserial.payloads.FileUploadTest,0
51,ysoserial.payloads.util.JavaVersion,0
52,ysoserial.payloads.ROME,0
53,ysoserial.exploit.JBoss.1,0
54,ysoserial.secmgr.ExecCheckingSecurityManager.1,0
55,ysoserial.payloads.JRMPReverseConnectSMTest,0
56,ysoserial.payloads.MyfacesTest,0
57,ysoserial.payloads.JRMPListener,0
58,ysoserial.exploit.JRMPListener,0
59,ysoserial.exploit.JBoss.ConnectionProviderContextImpl,0
60,ysoserial.Throwables,0
61,ysoserial.exploit.JenkinsReverse,0
62,ysoserial.secmgr.DelegateSecurityManager,0
63,ysoserial.payloads.JBossInterceptors1.1,0
64,ysoserial.payloads.util.PayloadRunner,0
65,ysoserial.secmgr.ThreadLocalSecurityManager,0
66,ysoserial.payloads.TestHarnessTest.NoopMockPayload,0
67,ysoserial.payloads.JBossInterceptors1,0
68,ysoserial.exploit.JRMPListener.Dummy,0
69,ysoserial.payloads.util.ClassFiles,0
70,ysoserial.payloads.FileUpload1,0
71,ysoserial.exploit.JRMPClassLoadingListener,0
72,ysoserial.exploit.JRMPClient.MarshalOutputStream,0
73,ysoserial.payloads.Hibernate1,0
74,ysoserial.exploit.JRMPListener.1,0
75,ysoserial.payloads.Clojure,0
76,ysoserial.exploit.JRMPListener.2,0
77,ysoserial.payloads.Hibernate2,0
78,ysoserial.payloads.annotation.Authors.Utils,0
79,ysoserial.WrappedTest,0
80,ysoserial.payloads.CommonsCollections2,0
81,ysoserial.payloads.CommonsCollections1,0
82,ysoserial.payloads.CommonsCollections4,0
83,ysoserial.payloads.CommonsCollections3,0
84,ysoserial.payloads.CommonsCollections6,0
85,ysoserial.exploit.RMIRegistryExploit,0
86,ysoserial.payloads.CommonsCollections5,0
87,ysoserial.payloads.util.PayloadRunner.1,0
88,ysoserial.payloads.RemoteClassLoadingTest,0
89,ysoserial.payloads.JRMPClient,0
90,ysoserial.payloads.Myfaces2,0
91,ysoserial.payloads.util.Gadgets.Foo,0
92,ysoserial.payloads.Myfaces1,0
93,ysoserial.exploit.JenkinsListener,0
94,ysoserial.payloads.MozillaRhino1,0
95,ysoserial.payloads.C3P0,0
96,ysoserial.exploit.JBoss.ConsoleLogHandler,0
97,ysoserial.payloads.Jdk7u21,0
98,ysoserial.payloads.URLDNS,0
99,ysoserial.exploit.JRMPClient,0
100,ysoserial.payloads.Spring1,0
101,ysoserial.payloads.Spring2,0
