file,class_x,method_x,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty,line,class_y,method_y,ATFD,ATLD,LAA,FDP
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,run/0,0,9,7,34,0,2,0,3,0,0,378,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,run/0,2.0,0.0,0.0,2.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,select/0,1,2,7,26,0,4,0,1,0,0,415,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,select/0,1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,processAcceptedConnections/0,1,4,4,16,0,3,0,1,0,0,463,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,processAcceptedConnections/0,2.0,1.0,0.33333334,2.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,processInterestOpsUpdateRequests/0,1,3,5,12,0,2,0,1,0,0,484,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,processInterestOpsUpdateRequests/0,2.0,0.0,0.0,2.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,addInterestOpsUpdateRequest/1[java.nio.channels.SelectionKey],2,1,3,7,2,0,1,0,0,0,364,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,addInterestOpsUpdateRequest/1[java.nio.channels.SelectionKey],1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,SelectorThread/1[int],1,0,1,6,0,0,1,0,0,0,338,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,SelectorThread/1[int],0.0,3.0,1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,handleIO/1[java.nio.channels.SelectionKey],1,3,1,8,0,2,1,0,0,0,447,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,handleIO/1[java.nio.channels.SelectionKey],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,addAcceptedConnection/1[java.nio.channels.SocketChannel],1,1,3,7,2,0,1,0,0,0,350,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,addAcceptedConnection/1[java.nio.channels.SocketChannel],1.0,0.0,0.0,1.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\util\AdHash.java,org.apache.zookeeper.server.util.AdHash,addDigest/1[long],1,0,1,4,1,0,1,0,0,0,40,org.apache.zookeeper.server.util.AdHash,addDigest/1[long],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\util\AdHash.java,org.apache.zookeeper.server.util.AdHash,equals/1[java.lang.Object],1,0,2,3,1,0,1,0,0,0,64,org.apache.zookeeper.server.util.AdHash,equals/1[java.lang.Object],0.0,2.0,1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\util\AdHash.java,org.apache.zookeeper.server.util.AdHash,hashCode/0,0,0,1,3,1,0,0,0,0,0,69,org.apache.zookeeper.server.util.AdHash,hashCode/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\util\AdHash.java,org.apache.zookeeper.server.util.AdHash,getHash/0,0,0,1,3,1,0,0,0,0,0,59,org.apache.zookeeper.server.util.AdHash,getHash/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\util\AdHash.java,org.apache.zookeeper.server.util.AdHash,clear/0,0,0,1,3,0,0,0,0,0,0,78,org.apache.zookeeper.server.util.AdHash,clear/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\util\AdHash.java,org.apache.zookeeper.server.util.AdHash,toString/0,1,0,1,3,1,0,0,0,0,0,74,org.apache.zookeeper.server.util.AdHash,toString/0,0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\util\AdHash.java,org.apache.zookeeper.server.util.AdHash,removeDigest/1[long],1,0,1,4,1,0,1,0,0,0,51,org.apache.zookeeper.server.util.AdHash,removeDigest/1[long],0.0,1.0,1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\metrics\BaseTestMetricsProvider.java,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,start/0,0,0,2,5,0,0,0,0,0,0,80,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,start/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\metrics\BaseTestMetricsProvider.java,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,stop/0,0,0,2,5,0,0,0,0,0,0,95,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,stop/0,0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\metrics\BaseTestMetricsProvider.java,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,getRootContext/0,0,0,1,4,1,0,0,0,0,0,88,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,getRootContext/0,2.0,0.0,0.0,2.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\metrics\BaseTestMetricsProvider.java,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,configure/1[java.util.Properties],0,0,2,5,0,0,1,0,0,0,72,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,configure/1[java.util.Properties],0.0,0.0,-1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\metrics\BaseTestMetricsProvider.java,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,reset/0,3,0,1,6,0,0,0,0,0,0,64,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,reset/0,4.0,0.0,0.0,1.0
