file,class_x,line,type,dit,fanin,fanout,lcc,lcom*,loc,noc,rfc,innerClassesQty,totalFieldsQty,totalMethodsQty,wmc,class_y,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\NIOServerCnxnFactory.java,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,332,innerclass,3,0,5,1.0,0.625,121,0,40,0,3,8,31,org.apache.zookeeper.server.NIOServerCnxnFactory$SelectorThread,5.0,0.0,9.0,4.0,0.30769232,0.8,4.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\util\AdHash.java,org.apache.zookeeper.server.util.AdHash,29,class,1,2,1,1.0,0.0,26,0,2,0,1,7,8,org.apache.zookeeper.server.util.AdHash,0.0,-1.0,0.0,8.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\metrics\BaseTestMetricsProvider.java,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,57,innerclass,2,0,2,1.0,0.6,31,0,2,0,4,5,8,org.apache.zookeeper.metrics.BaseTestMetricsProvider$MetricsProviderCapturingLifecycle,0.0,0.8,6.0,0.0,0.0,-1.0,2.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\ClientCnxn.java,org.apache.zookeeper.ClientCnxn$WatcherSetEventPair,457,innerclass,1,0,2,,0.0,8,0,0,0,2,1,1,org.apache.zookeeper.ClientCnxn$WatcherSetEventPair,0.0,-1.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\AsyncOps.java,org.apache.zookeeper.test.AsyncOps$Create2CB,452,innerclass,2,0,9,0.38181818,0.5818182,61,0,16,0,5,11,12,org.apache.zookeeper.test.AsyncOps$Create2CB,3.0,0.22222222,9.0,36.0,0.8,0.6666667,3.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\NonRecoverableErrorTest.java,org.apache.zookeeper.test.NonRecoverableErrorTest,44,class,3,1,13,,0.5,88,0,32,0,1,4,15,org.apache.zookeeper.test.NonRecoverableErrorTest,9.0,0.0,31.0,4.0,0.114285715,0.0,10.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\FLETest.java,org.apache.zookeeper.test.FLETest$LEThread,115,innerclass,2,0,5,1.0,0.26666668,81,0,26,0,5,3,16,org.apache.zookeeper.test.FLETest$LEThread,0.0,0.0,36.0,21.0,0.36842105,-1.0,7.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\server\quorum\QuorumServerTest.java,org.apache.zookeeper.server.quorum.QuorumServerTest,29,class,2,0,6,0.08888889,0.76666665,74,0,5,0,3,10,12,org.apache.zookeeper.server.quorum.QuorumServerTest,2.0,0.0,11.0,23.0,0.6764706,0.0,5.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\OpResult.java,org.apache.zookeeper.OpResult$ErrorResult,283,innerclass,2,0,2,1.0,0.0,23,0,2,0,1,4,8,org.apache.zookeeper.OpResult$ErrorResult,0.0,0.0,4.0,5.0,0.5555556,-1.0,2.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\test\java\org\apache\zookeeper\test\ObserverHierarchicalQuorumTest.java,org.apache.zookeeper.test.ObserverHierarchicalQuorumTest,23,class,4,0,5,0.0,0.0,11,0,3,0,0,3,3,org.apache.zookeeper.test.ObserverHierarchicalQuorumTest,36.0,1.0,0.0,0.0,-1.0,0.0,0.0
C:\Users\syuuj\gitProject\zookeeper\zookeeper-server\src\main\java\org\apache\zookeeper\server\ExpiryQueue.java,org.apache.zookeeper.server.ExpiryQueue,35,class,1,4,3,1.0,0.5625,94,0,28,0,4,8,23,org.apache.zookeeper.server.ExpiryQueue,0.0,-1.0,8.0,5.0,0.3846154,-1.0,2.0
